week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
1,Monday,1,1,1,ma-g4-english-language-arts-u01-l01
1,Tuesday,2,1,2,ma-g4-english-language-arts-u01-l02
1,Wednesday,3,1,3,ma-g4-english-language-arts-u01-l03
1,Thursday,4,1,4,ma-g4-english-language-arts-u01-l04
1,Friday,5,1,5,ma-g4-english-language-arts-u01-l05
2,Monday,6,1,6,ma-g4-english-language-arts-u01-l06
2,Tuesday,7,1,7,ma-g4-english-language-arts-u01-l07
2,Wednesday,8,1,8,ma-g4-english-language-arts-u01-l08
2,Thursday,9,1,9,ma-g4-english-language-arts-u01-l09
2,Friday,10,1,10,ma-g4-english-language-arts-u01-l10
3,Monday,11,1,11,ma-g4-english-language-arts-u01-l11
3,Tuesday,12,1,12,ma-g4-english-language-arts-u01-l12
3,Wednesday,13,1,13,ma-g4-english-language-arts-u01-l13
3,Thursday,14,1,14,ma-g4-english-language-arts-u01-l14
3,Friday,15,1,15,ma-g4-english-language-arts-u01-l15
4,Monday,16,1,16,ma-g4-english-language-arts-u01-l16
4,Tuesday,17,1,17,ma-g4-english-language-arts-u01-l17
4,Wednesday,18,1,18,ma-g4-english-language-arts-u01-l18
4,Thursday,19,2,1,ma-g4-english-language-arts-u02-l01
4,Friday,20,2,2,ma-g4-english-language-arts-u02-l02
5,Monday,21,2,3,ma-g4-english-language-arts-u02-l03
5,Tuesday,22,2,4,ma-g4-english-language-arts-u02-l04
5,Wednesday,23,2,5,ma-g4-english-language-arts-u02-l05
5,Thursday,24,2,6,ma-g4-english-language-arts-u02-l06
5,Friday,25,2,7,ma-g4-english-language-arts-u02-l07
6,Monday,26,2,8,ma-g4-english-language-arts-u02-l08
6,Tuesday,27,2,9,ma-g4-english-language-arts-u02-l09
6,Wednesday,28,2,10,ma-g4-english-language-arts-u02-l10
6,Thursday,29,2,11,ma-g4-english-language-arts-u02-l11
6,Friday,30,2,12,ma-g4-english-language-arts-u02-l12
7,Monday,31,2,13,ma-g4-english-language-arts-u02-l13
7,Tuesday,32,2,14,ma-g4-english-language-arts-u02-l14
7,Wednesday,33,2,15,ma-g4-english-language-arts-u02-l15
7,Thursday,34,2,16,ma-g4-english-language-arts-u02-l16
7,Friday,35,2,17,ma-g4-english-language-arts-u02-l17
8,Monday,36,2,18,ma-g4-english-language-arts-u02-l18
8,Tuesday,37,3,1,ma-g4-english-language-arts-u03-l01
8,Wednesday,38,3,2,ma-g4-english-language-arts-u03-l02
8,Thursday,39,3,3,ma-g4-english-language-arts-u03-l03
8,Friday,40,3,4,ma-g4-english-language-arts-u03-l04
9,Monday,41,3,5,ma-g4-english-language-arts-u03-l05
9,Tuesday,42,3,6,ma-g4-english-language-arts-u03-l06
9,Wednesday,43,3,7,ma-g4-english-language-arts-u03-l07
9,Thursday,44,3,8,ma-g4-english-language-arts-u03-l08
9,Friday,45,3,9,ma-g4-english-language-arts-u03-l09
10,Monday,46,3,10,ma-g4-english-language-arts-u03-l10
10,Tuesday,47,3,11,ma-g4-english-language-arts-u03-l11
10,Wednesday,48,3,12,ma-g4-english-language-arts-u03-l12
10,Thursday,49,3,13,ma-g4-english-language-arts-u03-l13
10,Friday,50,3,14,ma-g4-english-language-arts-u03-l14
11,Monday,51,3,15,ma-g4-english-language-arts-u03-l15
11,Tuesday,52,3,16,ma-g4-english-language-arts-u03-l16
11,Wednesday,53,3,17,ma-g4-english-language-arts-u03-l17
11,Thursday,54,3,18,ma-g4-english-language-arts-u03-l18
11,Friday,55,4,1,ma-g4-english-language-arts-u04-l01
12,Monday,56,4,2,ma-g4-english-language-arts-u04-l02
12,Tuesday,57,4,3,ma-g4-english-language-arts-u04-l03
