week,day_of_week,course_day,lesson_id,unit_number,unit_title,phase,evidence_type,standards
1,Monday,1,ma-g4-mathematics-u01-l01,1,Mathematical Habits and Place Value to One Million,Launch and diagnostic,instruction,MP.1;MP.3
1,Tuesday,2,ma-g4-mathematics-u01-l02,1,Mathematical Habits and Place Value to One Million,Concept build A,instruction,4.NBT.1;MP.7
1,Wednesday,3,ma-g4-mathematics-u01-l03,1,Mathematical Habits and Place Value to One Million,Concept build B,instruction,4.NBT.1;4.NBT.2
1,Thursday,4,ma-g4-mathematics-u01-l04,1,Mathematical Habits and Place Value to One Million,Guided practice A,guided-practice,4.NBT.2
1,Friday,5,ma-g4-mathematics-u01-l05,1,Mathematical Habits and Place Value to One Million,Independent evidence A,independent-evidence,4.NBT.1;4.NBT.2
2,Monday,6,ma-g4-mathematics-u01-l06,1,Mathematical Habits and Place Value to One Million,Concept build C,instruction,4.NBT.2
2,Tuesday,7,ma-g4-mathematics-u01-l07,1,Mathematical Habits and Place Value to One Million,Guided practice B,guided-practice,4.NBT.2;MP.6
2,Wednesday,8,ma-g4-mathematics-u01-l08,1,Mathematical Habits and Place Value to One Million,Error analysis and repair,guided-practice,4.NBT.2;MP.3
2,Thursday,9,ma-g4-mathematics-u01-l09,1,Mathematical Habits and Place Value to One Million,Retrieval and fluency,retrieval,4.NBT.1;4.NBT.2
2,Friday,10,ma-g4-mathematics-u01-l10,1,Mathematical Habits and Place Value to One Million,Independent evidence B,independent-evidence,4.NBT.2
3,Monday,11,ma-g4-mathematics-u01-l11,1,Mathematical Habits and Place Value to One Million,Concept extension,instruction,4.NBT.3
3,Tuesday,12,ma-g4-mathematics-u01-l12,1,Mathematical Habits and Place Value to One Million,Applied problem solving,independent-evidence,4.NBT.3;MP.1;MP.3
3,Wednesday,13,ma-g4-mathematics-u01-l13,1,Mathematical Habits and Place Value to One Million,Performance task: plan,project,4.NBT.1;4.NBT.2;MP.4
