week,session_in_week,day_suggestion,course_day,unit_number,day_in_unit,lesson_id
1,1,Monday,1,1,1,ma-g3-physical-education-u01-l01
1,2,Wednesday,2,1,2,ma-g3-physical-education-u01-l02
1,3,Friday,3,1,3,ma-g3-physical-education-u01-l03
2,1,Monday,4,1,4,ma-g3-physical-education-u01-l04
2,2,Wednesday,5,1,5,ma-g3-physical-education-u01-l05
2,3,Friday,6,1,6,ma-g3-physical-education-u01-l06
3,1,Monday,7,1,7,ma-g3-physical-education-u01-l07
3,2,Wednesday,8,1,8,ma-g3-physical-education-u01-l08
3,3,Friday,9,1,9,ma-g3-physical-education-u01-l09
4,1,Monday,10,1,10,ma-g3-physical-education-u01-l10
4,2,Wednesday,11,1,11,ma-g3-physical-education-u01-l11
4,3,Friday,12,1,12,ma-g3-physical-education-u01-l12
5,1,Monday,13,2,1,ma-g3-physical-education-u02-l01
5,2,Wednesday,14,2,2,ma-g3-physical-education-u02-l02
5,3,Friday,15,2,3,ma-g3-physical-education-u02-l03
6,1,Monday,16,2,4,ma-g3-physical-education-u02-l04
6,2,Wednesday,17,2,5,ma-g3-physical-education-u02-l05
6,3,Friday,18,2,6,ma-g3-physical-education-u02-l06
7,1,Monday,19,2,7,ma-g3-physical-education-u02-l07
7,2,Wednesday,20,2,8,ma-g3-physical-education-u02-l08
7,3,Friday,21,2,9,ma-g3-physical-education-u02-l09
8,1,Monday,22,2,10,ma-g3-physical-education-u02-l10
8,2,Wednesday,23,2,11,ma-g3-physical-education-u02-l11
8,3,Friday,24,2,12,ma-g3-physical-education-u02-l12
9,1,Monday,25,3,1,ma-g3-physical-education-u03-l01
9,2,Wednesday,26,3,2,ma-g3-physical-education-u03-l02
9,3,Friday,27,3,3,ma-g3-physical-education-u03-l03
10,1,Monday,28,3,4,ma-g3-physical-education-u03-l04
10,2,Wednesday,29,3,5,ma-g3-physical-education-u03-l05
10,3,Friday,30,3,6,ma-g3-physical-education-u03-l06
11,1,Monday,31,3,7,ma-g3-physical-education-u03-l07
11,2,Wednesday,32,3,8,ma-g3-physical-education-u03-l08
11,3,Friday,33,3,9,ma-g3-physical-education-u03-l09
12,1,Monday,34,3,10,ma-g3-physical-education-u03-l10
12,2,Wednesday,35,3,11,ma-g3-physical-education-u03-l11
12,3,Friday,36,3,12,ma-g3-physical-education-u03-l12
13,1,Monday,37,4,1,ma-g3-physical-education-u04-l01
13,2,Wednesday,38,4,2,ma-g3-physical-education-u04-l02
13,3,Friday,39,4,3,ma-g3-physical-education-u04-l03
14,1,Monday,40,4,4,ma-g3-physical-education-u04-l04
14,2,Wednesday,41,4,5,ma-g3-physical-education-u04-l05
14,3,Friday,42,4,6,ma-g3-physical-education-u04-l06
15,1,Monday,43,4,7,ma-g3-physical-education-u04-l07
15,2,Wednesday,44,4,8,ma-g3-physical-education-u04-l08
15,3,Friday,45,4,9,ma-g3-physical-education-u04-l09
16,1,Monday,46,4,10,ma-g3-physical-education-u04-l10
16,2,Wednesday,47,4,11,ma-g3-physical-education-u04-l11
16,3,Friday,48,4,12,ma-g3-physical-education-u04-l12
17,1,Monday,49,5,1,ma-g3-physical-education-u05-l01
17,2,Wednesday,50,5,2,ma-g3-physical-education-u05-l02
17,3,Friday,51,5,3,ma-g3-physical-education-u05-l03
18,1,Monday,52,5,4,ma-g3-physical-education-u05-l04
18,2,Wednesday,53,5,5,ma-g3-physical-education-u05-l05
18,3,Friday,54,5,6,ma-g3-physical-education-u05-l06
19,1,Monday,55,5,7,ma-g3-physical-education-u05-l07
19,2,Wednesday,56,5,8,ma-g3-physical-education-u05-l08
19,3,Friday,57,5,9,ma-g3-physical-education-u05-l09
20,1,Monday,58,5,10,ma-g3-physical-education-u05-l10
20,2,Wednesday,59,5,11,ma-g3-physical-education-u05-l11
20,3,Friday,60,5,12,ma-g3-physical-education-u05-l12
21,1,Monday,61,6,1,ma-g3-physical-education-u06-l01
21,2,Wednesday,62,6,2,ma-g3-physical-education-u06-l02
21,3,Friday,63,6,3,ma-g3-physical-education-u06-l03
22,1,Monday,64,6,4,ma-g3-physical-education-u06-l04
22,2,Wednesday,65,6,5,ma-g3-physical-education-u06-l05
22,3,Friday,66,6,6,ma-g3-physical-education-u06-l06
23,1,Monday,67,6,7,ma-g3-physical-education-u06-l07
23,2,Wednesday,68,6,8,ma-g3-physical-education-u06-l08
23,3,Friday,69,6,9,ma-g3-physical-education-u06-l09
24,1,Monday,70,6,10,ma-g3-physical-education-u06-l10
24,2,Wednesday,71,6,11,ma-g3-physical-education-u06-l11
24,3,Friday,72,6,12,ma-g3-physical-education-u06-l12
25,1,Monday,73,7,1,ma-g3-physical-education-u07-l01
25,2,Wednesday,74,7,2,ma-g3-physical-education-u07-l02
25,3,Friday,75,7,3,ma-g3-physical-education-u07-l03
26,1,Monday,76,7,4,ma-g3-physical-education-u07-l04
26,2,Wednesday,77,7,5,ma-g3-physical-education-u07-l05
26,3,Friday,78,7,6,ma-g3-physical-education-u07-l06
27,1,Monday,79,7,7,ma-g3-physical-education-u07-l07
27,2,Wednesday,80,7,8,ma-g3-physical-education-u07-l08
27,3,Friday,81,7,9,ma-g3-physical-education-u07-l09
28,1,Monday,82,7,10,ma-g3-physical-education-u07-l10
28,2,Wednesday,83,7,11,ma-g3-physical-education-u07-l11
28,3,Friday,84,7,12,ma-g3-physical-education-u07-l12
29,1,Monday,85,8,1,ma-g3-physical-education-u08-l01
29,2,Wednesday,86,8,2,ma-g3-physical-education-u08-l02
29,3,Friday,87,8,3,ma-g3-physical-education-u08-l03
30,1,Monday,88,8,4,ma-g3-physical-education-u08-l04
30,2,Wednesday,89,8,5,ma-g3-physical-education-u08-l05
30,3,Friday,90,8,6,ma-g3-physical-education-u08-l06
31,1,Monday,91,8,7,ma-g3-physical-education-u08-l07
31,2,Wednesday,92,8,8,ma-g3-physical-education-u08-l08
31,3,Friday,93,8,9,ma-g3-physical-education-u08-l09
32,1,Monday,94,8,10,ma-g3-physical-education-u08-l10
32,2,Wednesday,95,8,11,ma-g3-physical-education-u08-l11
32,3,Friday,96,8,12,ma-g3-physical-education-u08-l12
33,1,Monday,97,9,1,ma-g3-physical-education-u09-l01
33,2,Wednesday,98,9,2,ma-g3-physical-education-u09-l02
33,3,Friday,99,9,3,ma-g3-physical-education-u09-l03
34,1,Monday,100,9,4,ma-g3-physical-education-u09-l04
34,2,Wednesday,101,9,5,ma-g3-physical-education-u09-l05
34,3,Friday,102,9,6,ma-g3-physical-education-u09-l06
35,1,Monday,103,9,7,ma-g3-physical-education-u09-l07
35,2,Wednesday,104,9,8,ma-g3-physical-education-u09-l08
35,3,Friday,105,9,9,ma-g3-physical-education-u09-l09
36,1,Monday,106,9,10,ma-g3-physical-education-u09-l10
36,2,Wednesday,107,9,11,ma-g3-physical-education-u09-l11
36,3,Friday,108,9,12,ma-g3-physical-education-u09-l12
