course_day,week,day_of_week,unit_number,unit_title,day_in_unit,phase,lesson_id
1,1,Monday,1,Advanced Trigonometry: Unit Circle and Identities,1,Launch and diagnostic,ma-g12-mathematics-u01-l01
2,1,Tuesday,1,Advanced Trigonometry: Unit Circle and Identities,2,Concept model A,ma-g12-mathematics-u01-l02
3,1,Wednesday,1,Advanced Trigonometry: Unit Circle and Identities,3,Guided practice A,ma-g12-mathematics-u01-l03
4,1,Thursday,1,Advanced Trigonometry: Unit Circle and Identities,4,Independent application A,ma-g12-mathematics-u01-l04
5,1,Friday,1,Advanced Trigonometry: Unit Circle and Identities,5,Concept model B,ma-g12-mathematics-u01-l05
6,2,Monday,1,Advanced Trigonometry: Unit Circle and Identities,6,Guided practice B,ma-g12-mathematics-u01-l06
7,2,Tuesday,1,Advanced Trigonometry: Unit Circle and Identities,7,Investigation or close reading,ma-g12-mathematics-u01-l07
8,2,Wednesday,1,Advanced Trigonometry: Unit Circle and Identities,8,Reteach and varied practice,ma-g12-mathematics-u01-l08
9,2,Thursday,1,Advanced Trigonometry: Unit Circle and Identities,9,Concept model C,ma-g12-mathematics-u01-l09
10,2,Friday,1,Advanced Trigonometry: Unit Circle and Identities,10,Discussion or problem seminar,ma-g12-mathematics-u01-l10
11,3,Monday,1,Advanced Trigonometry: Unit Circle and Identities,11,Performance task planning,ma-g12-mathematics-u01-l11
12,3,Tuesday,1,Advanced Trigonometry: Unit Circle and Identities,12,Performance task build,ma-g12-mathematics-u01-l12
13,3,Wednesday,1,Advanced Trigonometry: Unit Circle and Identities,13,Skill consolidation,ma-g12-mathematics-u01-l13
14,3,Thursday,1,Advanced Trigonometry: Unit Circle and Identities,14,Transfer challenge,ma-g12-mathematics-u01-l14
15,3,Friday,1,Advanced Trigonometry: Unit Circle and Identities,15,Assessment preparation,ma-g12-mathematics-u01-l15
16,4,Monday,1,Advanced Trigonometry: Unit Circle and Identities,16,Unit assessment,ma-g12-mathematics-u01-l16
17,4,Tuesday,1,Advanced Trigonometry: Unit Circle and Identities,17,Targeted correction,ma-g12-mathematics-u01-l17
18,4,Wednesday,1,Advanced Trigonometry: Unit Circle and Identities,18,"Publication, presentation, or reflection",ma-g12-mathematics-u01-l18
19,4,Thursday,2,Inverse Trigonometric Functions and Composition,1,Launch and diagnostic,ma-g12-mathematics-u02-l01
20,4,Friday,2,Inverse Trigonometric Functions and Composition,2,Concept model A,ma-g12-mathematics-u02-l02
21,5,Monday,2,Inverse Trigonometric Functions and Composition,3,Guided practice A,ma-g12-mathematics-u02-l03
22,5,Tuesday,2,Inverse Trigonometric Functions and Composition,4,Independent application A,ma-g12-mathematics-u02-l04
23,5,Wednesday,2,Inverse Trigonometric Functions and Composition,5,Concept model B,ma-g12-mathematics-u02-l05
24,5,Thursday,2,Inverse Trigonometric Functions and Composition,6,Guided practice B,ma-g12-mathematics-u02-l06
25,5,Friday,2,Inverse Trigonometric Functions and Composition,7,Investigation or close reading,ma-g12-mathematics-u02-l07
26,6,Monday,2,Inverse Trigonometric Functions and Composition,8,Reteach and varied practice,ma-g12-mathematics-u02-l08
27,6,Tuesday,2,Inverse Trigonometric Functions and Composition,9,Concept model C,ma-g12-mathematics-u02-l09
28,6,Wednesday,2,Inverse Trigonometric Functions and Composition,10,Discussion or problem seminar,ma-g12-mathematics-u02-l10
29,6,Thursday,2,Inverse Trigonometric Functions and Composition,11,Performance task planning,ma-g12-mathematics-u02-l11
30,6,Friday,2,Inverse Trigonometric Functions and Composition,12,Performance task build,ma-g12-mathematics-u02-l12
31,7,Monday,2,Inverse Trigonometric Functions and Composition,13,Skill consolidation,ma-g12-mathematics-u02-l13
32,7,Tuesday,2,Inverse Trigonometric Functions and Composition,14,Transfer challenge,ma-g12-mathematics-u02-l14
33,7,Wednesday,2,Inverse Trigonometric Functions and Composition,15,Assessment preparation,ma-g12-mathematics-u02-l15
34,7,Thursday,2,Inverse Trigonometric Functions and Composition,16,Unit assessment,ma-g12-mathematics-u02-l16
35,7,Friday,2,Inverse Trigonometric Functions and Composition,17,Targeted correction,ma-g12-mathematics-u02-l17
36,8,Monday,2,Inverse Trigonometric Functions and Composition,18,"Publication, presentation, or reflection",ma-g12-mathematics-u02-l18
37,8,Tuesday,3,Triangle Laws for Non-Right Triangles,1,Launch and diagnostic,ma-g12-mathematics-u03-l01
38,8,Wednesday,3,Triangle Laws for Non-Right Triangles,2,Concept model A,ma-g12-mathematics-u03-l02
39,8,Thursday,3,Triangle Laws for Non-Right Triangles,3,Guided practice A,ma-g12-mathematics-u03-l03
40,8,Friday,3,Triangle Laws for Non-Right Triangles,4,Independent application A,ma-g12-mathematics-u03-l04
41,9,Monday,3,Triangle Laws for Non-Right Triangles,5,Concept model B,ma-g12-mathematics-u03-l05
42,9,Tuesday,3,Triangle Laws for Non-Right Triangles,6,Guided practice B,ma-g12-mathematics-u03-l06
43,9,Wednesday,3,Triangle Laws for Non-Right Triangles,7,Investigation or close reading,ma-g12-mathematics-u03-l07
44,9,Thursday,3,Triangle Laws for Non-Right Triangles,8,Reteach and varied practice,ma-g12-mathematics-u03-l08
45,9,Friday,3,Triangle Laws for Non-Right Triangles,9,Concept model C,ma-g12-mathematics-u03-l09
46,10,Monday,3,Triangle Laws for Non-Right Triangles,10,Discussion or problem seminar,ma-g12-mathematics-u03-l10
47,10,Tuesday,3,Triangle Laws for Non-Right Triangles,11,Performance task planning,ma-g12-mathematics-u03-l11
48,10,Wednesday,3,Triangle Laws for Non-Right Triangles,12,Performance task build,ma-g12-mathematics-u03-l12
49,10,Thursday,3,Triangle Laws for Non-Right Triangles,13,Skill consolidation,ma-g12-mathematics-u03-l13
50,10,Friday,3,Triangle Laws for Non-Right Triangles,14,Transfer challenge,ma-g12-mathematics-u03-l14
51,11,Monday,3,Triangle Laws for Non-Right Triangles,15,Assessment preparation,ma-g12-mathematics-u03-l15
52,11,Tuesday,3,Triangle Laws for Non-Right Triangles,16,Unit assessment,ma-g12-mathematics-u03-l16
53,11,Wednesday,3,Triangle Laws for Non-Right Triangles,17,Targeted correction,ma-g12-mathematics-u03-l17
54,11,Thursday,3,Triangle Laws for Non-Right Triangles,18,"Publication, presentation, or reflection",ma-g12-mathematics-u03-l18
55,11,Friday,4,The Complex Plane,1,Launch and diagnostic,ma-g12-mathematics-u04-l01
56,12,Monday,4,The Complex Plane,2,Concept model A,ma-g12-mathematics-u04-l02
57,12,Tuesday,4,The Complex Plane,3,Guided practice A,ma-g12-mathematics-u04-l03
58,12,Wednesday,4,The Complex Plane,4,Independent application A,ma-g12-mathematics-u04-l04
59,12,Thursday,4,The Complex Plane,5,Concept model B,ma-g12-mathematics-u04-l05
60,12,Friday,4,The Complex Plane,6,Guided practice B,ma-g12-mathematics-u04-l06
61,13,Monday,4,The Complex Plane,7,Investigation or close reading,ma-g12-mathematics-u04-l07
62,13,Tuesday,4,The Complex Plane,8,Reteach and varied practice,ma-g12-mathematics-u04-l08
63,13,Wednesday,4,The Complex Plane,9,Concept model C,ma-g12-mathematics-u04-l09
64,13,Thursday,4,The Complex Plane,10,Discussion or problem seminar,ma-g12-mathematics-u04-l10
65,13,Friday,4,The Complex Plane,11,Performance task planning,ma-g12-mathematics-u04-l11
66,14,Monday,4,The Complex Plane,12,Performance task build,ma-g12-mathematics-u04-l12
67,14,Tuesday,4,The Complex Plane,13,Skill consolidation,ma-g12-mathematics-u04-l13
68,14,Wednesday,4,The Complex Plane,14,Transfer challenge,ma-g12-mathematics-u04-l14
69,14,Thursday,4,The Complex Plane,15,Assessment preparation,ma-g12-mathematics-u04-l15
70,14,Friday,4,The Complex Plane,16,Unit assessment,ma-g12-mathematics-u04-l16
71,15,Monday,4,The Complex Plane,17,Targeted correction,ma-g12-mathematics-u04-l17
72,15,Tuesday,4,The Complex Plane,18,"Publication, presentation, or reflection",ma-g12-mathematics-u04-l18
73,15,Wednesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",1,Launch and diagnostic,ma-g12-mathematics-u05-l01
74,15,Thursday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",2,Concept model A,ma-g12-mathematics-u05-l02
75,15,Friday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",3,Guided practice A,ma-g12-mathematics-u05-l03
76,16,Monday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",4,Independent application A,ma-g12-mathematics-u05-l04
77,16,Tuesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",5,Concept model B,ma-g12-mathematics-u05-l05
78,16,Wednesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",6,Guided practice B,ma-g12-mathematics-u05-l06
79,16,Thursday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",7,Investigation or close reading,ma-g12-mathematics-u05-l07
80,16,Friday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",8,Reteach and varied practice,ma-g12-mathematics-u05-l08
81,17,Monday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",9,Concept model C,ma-g12-mathematics-u05-l09
82,17,Tuesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",10,Discussion or problem seminar,ma-g12-mathematics-u05-l10
83,17,Wednesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",11,Performance task planning,ma-g12-mathematics-u05-l11
84,17,Thursday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",12,Performance task build,ma-g12-mathematics-u05-l12
85,17,Friday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",13,Skill consolidation,ma-g12-mathematics-u05-l13
86,18,Monday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",14,Transfer challenge,ma-g12-mathematics-u05-l14
87,18,Tuesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",15,Assessment preparation,ma-g12-mathematics-u05-l15
88,18,Wednesday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",16,Unit assessment,ma-g12-mathematics-u05-l16
89,18,Thursday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",17,Targeted correction,ma-g12-mathematics-u05-l17
90,18,Friday,5,"Complex Solutions, Polynomials, and the Binomial Theorem",18,"Publication, presentation, or reflection",ma-g12-mathematics-u05-l18
91,19,Monday,6,Vectors,1,Launch and diagnostic,ma-g12-mathematics-u06-l01
92,19,Tuesday,6,Vectors,2,Concept model A,ma-g12-mathematics-u06-l02
93,19,Wednesday,6,Vectors,3,Guided practice A,ma-g12-mathematics-u06-l03
94,19,Thursday,6,Vectors,4,Independent application A,ma-g12-mathematics-u06-l04
95,19,Friday,6,Vectors,5,Concept model B,ma-g12-mathematics-u06-l05
96,20,Monday,6,Vectors,6,Guided practice B,ma-g12-mathematics-u06-l06
97,20,Tuesday,6,Vectors,7,Investigation or close reading,ma-g12-mathematics-u06-l07
98,20,Wednesday,6,Vectors,8,Reteach and varied practice,ma-g12-mathematics-u06-l08
99,20,Thursday,6,Vectors,9,Concept model C,ma-g12-mathematics-u06-l09
100,20,Friday,6,Vectors,10,Discussion or problem seminar,ma-g12-mathematics-u06-l10
101,21,Monday,6,Vectors,11,Performance task planning,ma-g12-mathematics-u06-l11
102,21,Tuesday,6,Vectors,12,Performance task build,ma-g12-mathematics-u06-l12
103,21,Wednesday,6,Vectors,13,Skill consolidation,ma-g12-mathematics-u06-l13
104,21,Thursday,6,Vectors,14,Transfer challenge,ma-g12-mathematics-u06-l14
105,21,Friday,6,Vectors,15,Assessment preparation,ma-g12-mathematics-u06-l15
106,22,Monday,6,Vectors,16,Unit assessment,ma-g12-mathematics-u06-l16
107,22,Tuesday,6,Vectors,17,Targeted correction,ma-g12-mathematics-u06-l17
108,22,Wednesday,6,Vectors,18,"Publication, presentation, or reflection",ma-g12-mathematics-u06-l18
