course_day,week,weekday,unit_number,unit_title,lesson_id,phase,focus,requires_guardian_signoff
1,1,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l01,Launch and planning,choosing a calendar and task system that fits,no
2,2,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l02,Skill model,capturing commitments before they are forgotten,no
3,3,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l03,Guided practice,breaking a multi-week obligation into steps,no
4,4,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l04,Supervised application,estimating how long a task really takes,yes
5,5,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l05,Independent application,"protecting sleep, study, and recovery time",no
6,6,1,1,Planning Systems and Time Management,ma-g9-ready-for-life-u01-l06,Unit performance task,reviewing a week and adjusting the system,yes
7,7,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l01,Launch and planning,"laundry, cleaning, and supply rotation as a system",no
8,8,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l02,Skill model,safe use of household appliances with supervision,no
9,9,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l03,Guided practice,recognising a repair that needs a qualified adult,no
10,10,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l04,Supervised application,routine upkeep and seasonal tasks,yes
11,11,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l05,Independent application,storing and labelling supplies safely,no
12,12,1,2,Household Independence and Home Systems,ma-g9-ready-for-life-u02-l06,Unit performance task,handing a task back with a clear status,yes
13,13,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l01,Launch and planning,planning meals across a week,no
14,14,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l02,Skill model,building a shopping list from a plan,no
15,15,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l03,Guided practice,"food safety, storage, and expiry",no
16,16,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l04,Supervised application,knife and heat safety under supervision,yes
17,17,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l05,Independent application,cooking three balanced meals,no
18,18,1,3,"Food Systems: Planning, Shopping, and Cooking",ma-g9-ready-for-life-u03-l06,Unit performance task,reducing waste and using leftovers,yes
19,19,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l01,Launch and planning,"reading schedules, maps, and routes",no
20,20,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l02,Skill model,planning a trip backwards from an arrival time,no
21,21,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l03,Guided practice,"comparing travel options on time, cost, and reliability",no
22,22,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l04,Supervised application,what to do when a connection fails,yes
23,23,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l05,Independent application,personal safety and check-in agreements,no
24,24,1,4,Transportation and Trip Planning,ma-g9-ready-for-life-u04-l06,Unit performance task,local rules for travel and identification,yes
25,25,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l01,Launch and planning,stating a need clearly and specifically,no
26,26,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l02,Skill model,asking a question of an unfamiliar adult,no
27,27,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l03,Guided practice,making and confirming an appointment,no
28,28,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l04,Supervised application,"writing a short, clear message that gets a response",yes
29,29,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l05,Independent application,"listening, confirming, and taking notes",no
30,30,1,5,Communication and Self-Advocacy,ma-g9-ready-for-life-u05-l06,Unit performance task,following up when there is no reply,yes
31,31,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l01,Launch and planning,integrating the year's systems into one week,no
32,32,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l02,Skill model,documenting evidence without oversharing,no
33,33,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l03,Guided practice,adult attestation of real-world tasks,no
34,34,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l04,Supervised application,identifying what still needs support,yes
35,35,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l05,Independent application,planning the next step honestly,no
36,36,1,6,Grade 9 Independence Capstone,ma-g9-ready-for-life-u06-l06,Unit performance task,presenting the week and defending the choices,yes
