week,session_in_week,course_day,lesson_id,unit_number,phase
1,1,1,ma-g11-social-studies-u01-l01,1,Launch and diagnostic
1,2,2,ma-g11-social-studies-u01-l02,1,Concept model A
1,3,3,ma-g11-social-studies-u01-l03,1,Guided practice A
2,1,4,ma-g11-social-studies-u01-l04,1,Independent application A
2,2,5,ma-g11-social-studies-u01-l05,1,Concept model B
2,3,6,ma-g11-social-studies-u01-l06,1,Guided practice B
3,1,7,ma-g11-social-studies-u01-l07,1,Investigation or close reading
3,2,8,ma-g11-social-studies-u01-l08,1,Reteach and varied practice
3,3,9,ma-g11-social-studies-u01-l09,1,Performance task build
4,1,10,ma-g11-social-studies-u01-l10,1,Synthesis and review
4,2,11,ma-g11-social-studies-u01-l11,1,Unit assessment
4,3,12,ma-g11-social-studies-u01-l12,1,Correction and reflection
5,1,13,ma-g11-social-studies-u02-l01,2,Launch and diagnostic
5,2,14,ma-g11-social-studies-u02-l02,2,Concept model A
5,3,15,ma-g11-social-studies-u02-l03,2,Guided practice A
6,1,16,ma-g11-social-studies-u02-l04,2,Independent application A
6,2,17,ma-g11-social-studies-u02-l05,2,Concept model B
6,3,18,ma-g11-social-studies-u02-l06,2,Guided practice B
7,1,19,ma-g11-social-studies-u02-l07,2,Investigation or close reading
7,2,20,ma-g11-social-studies-u02-l08,2,Reteach and varied practice
7,3,21,ma-g11-social-studies-u02-l09,2,Performance task build
8,1,22,ma-g11-social-studies-u02-l10,2,Synthesis and review
8,2,23,ma-g11-social-studies-u02-l11,2,Unit assessment
8,3,24,ma-g11-social-studies-u02-l12,2,Correction and reflection
9,1,25,ma-g11-social-studies-u03-l01,3,Launch and diagnostic
9,2,26,ma-g11-social-studies-u03-l02,3,Concept model A
9,3,27,ma-g11-social-studies-u03-l03,3,Guided practice A
10,1,28,ma-g11-social-studies-u03-l04,3,Independent application A
10,2,29,ma-g11-social-studies-u03-l05,3,Concept model B
10,3,30,ma-g11-social-studies-u03-l06,3,Guided practice B
11,1,31,ma-g11-social-studies-u03-l07,3,Investigation or close reading
11,2,32,ma-g11-social-studies-u03-l08,3,Reteach and varied practice
11,3,33,ma-g11-social-studies-u03-l09,3,Performance task build
12,1,34,ma-g11-social-studies-u03-l10,3,Synthesis and review
12,2,35,ma-g11-social-studies-u03-l11,3,Unit assessment
12,3,36,ma-g11-social-studies-u03-l12,3,Correction and reflection
13,1,37,ma-g11-social-studies-u04-l01,4,Launch and diagnostic
13,2,38,ma-g11-social-studies-u04-l02,4,Concept model A
13,3,39,ma-g11-social-studies-u04-l03,4,Guided practice A
14,1,40,ma-g11-social-studies-u04-l04,4,Independent application A
14,2,41,ma-g11-social-studies-u04-l05,4,Concept model B
14,3,42,ma-g11-social-studies-u04-l06,4,Guided practice B
15,1,43,ma-g11-social-studies-u04-l07,4,Investigation or close reading
15,2,44,ma-g11-social-studies-u04-l08,4,Reteach and varied practice
15,3,45,ma-g11-social-studies-u04-l09,4,Performance task build
16,1,46,ma-g11-social-studies-u04-l10,4,Synthesis and review
16,2,47,ma-g11-social-studies-u04-l11,4,Unit assessment
16,3,48,ma-g11-social-studies-u04-l12,4,Correction and reflection
17,1,49,ma-g11-social-studies-u05-l01,5,Launch and diagnostic
17,2,50,ma-g11-social-studies-u05-l02,5,Concept model A
17,3,51,ma-g11-social-studies-u05-l03,5,Guided practice A
18,1,52,ma-g11-social-studies-u05-l04,5,Independent application A
18,2,53,ma-g11-social-studies-u05-l05,5,Concept model B
18,3,54,ma-g11-social-studies-u05-l06,5,Guided practice B
19,1,55,ma-g11-social-studies-u05-l07,5,Investigation or close reading
19,2,56,ma-g11-social-studies-u05-l08,5,Reteach and varied practice
19,3,57,ma-g11-social-studies-u05-l09,5,Performance task build
20,1,58,ma-g11-social-studies-u05-l10,5,Synthesis and review
20,2,59,ma-g11-social-studies-u05-l11,5,Unit assessment
20,3,60,ma-g11-social-studies-u05-l12,5,Correction and reflection
21,1,61,ma-g11-social-studies-u06-l01,6,Launch and diagnostic
21,2,62,ma-g11-social-studies-u06-l02,6,Concept model A
21,3,63,ma-g11-social-studies-u06-l03,6,Guided practice A
22,1,64,ma-g11-social-studies-u06-l04,6,Independent application A
22,2,65,ma-g11-social-studies-u06-l05,6,Concept model B
22,3,66,ma-g11-social-studies-u06-l06,6,Guided practice B
23,1,67,ma-g11-social-studies-u06-l07,6,Investigation or close reading
23,2,68,ma-g11-social-studies-u06-l08,6,Reteach and varied practice
23,3,69,ma-g11-social-studies-u06-l09,6,Performance task build
24,1,70,ma-g11-social-studies-u06-l10,6,Synthesis and review
24,2,71,ma-g11-social-studies-u06-l11,6,Unit assessment
24,3,72,ma-g11-social-studies-u06-l12,6,Correction and reflection
25,1,73,ma-g11-social-studies-u07-l01,7,Launch and diagnostic
25,2,74,ma-g11-social-studies-u07-l02,7,Concept model A
25,3,75,ma-g11-social-studies-u07-l03,7,Guided practice A
26,1,76,ma-g11-social-studies-u07-l04,7,Independent application A
26,2,77,ma-g11-social-studies-u07-l05,7,Concept model B
26,3,78,ma-g11-social-studies-u07-l06,7,Guided practice B
27,1,79,ma-g11-social-studies-u07-l07,7,Investigation or close reading
27,2,80,ma-g11-social-studies-u07-l08,7,Reteach and varied practice
27,3,81,ma-g11-social-studies-u07-l09,7,Performance task build
28,1,82,ma-g11-social-studies-u07-l10,7,Synthesis and review
28,2,83,ma-g11-social-studies-u07-l11,7,Unit assessment
28,3,84,ma-g11-social-studies-u07-l12,7,Correction and reflection
29,1,85,ma-g11-social-studies-u08-l01,8,Launch and diagnostic
29,2,86,ma-g11-social-studies-u08-l02,8,Concept model A
29,3,87,ma-g11-social-studies-u08-l03,8,Guided practice A
30,1,88,ma-g11-social-studies-u08-l04,8,Independent application A
30,2,89,ma-g11-social-studies-u08-l05,8,Concept model B
30,3,90,ma-g11-social-studies-u08-l06,8,Guided practice B
31,1,91,ma-g11-social-studies-u08-l07,8,Investigation or close reading
31,2,92,ma-g11-social-studies-u08-l08,8,Reteach and varied practice
31,3,93,ma-g11-social-studies-u08-l09,8,Performance task build
32,1,94,ma-g11-social-studies-u08-l10,8,Synthesis and review
32,2,95,ma-g11-social-studies-u08-l11,8,Unit assessment
32,3,96,ma-g11-social-studies-u08-l12,8,Correction and reflection
33,1,97,ma-g11-social-studies-u09-l01,9,Launch and diagnostic
33,2,98,ma-g11-social-studies-u09-l02,9,Concept model A
33,3,99,ma-g11-social-studies-u09-l03,9,Guided practice A
34,1,100,ma-g11-social-studies-u09-l04,9,Independent application A
34,2,101,ma-g11-social-studies-u09-l05,9,Concept model B
34,3,102,ma-g11-social-studies-u09-l06,9,Guided practice B
35,1,103,ma-g11-social-studies-u09-l07,9,Investigation or close reading
35,2,104,ma-g11-social-studies-u09-l08,9,Reteach and varied practice
35,3,105,ma-g11-social-studies-u09-l09,9,Performance task build
36,1,106,ma-g11-social-studies-u09-l10,9,Synthesis and review
36,2,107,ma-g11-social-studies-u09-l11,9,Unit assessment
36,3,108,ma-g11-social-studies-u09-l12,9,Correction and reflection
