lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards
ma-g9-social-studies-u01-l01,ma-g9-social-studies,9,social-studies,1,1,Foundations of High School United States History and Geography,1,Launch and diagnostic: historical and geographic inquiry,Launch and diagnostic,historical and geographic inquiry,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l02,ma-g9-social-studies,9,social-studies,2,1,Foundations of High School United States History and Geography,2,Concept model A: core ideals in founding documents,Concept model A,core ideals in founding documents,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l03,ma-g9-social-studies,9,social-studies,3,1,Foundations of High School United States History and Geography,3,Guided practice A: change and continuity to 1877,Guided practice A,change and continuity to 1877,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l04,ma-g9-social-studies,9,social-studies,4,1,Foundations of High School United States History and Geography,4,Independent application A: sourcing and corroboration,Independent application A,sourcing and corroboration,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l05,ma-g9-social-studies,9,social-studies,5,1,Foundations of High School United States History and Geography,5,Concept model B: spatial reasoning with maps,Concept model B,spatial reasoning with maps,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l06,ma-g9-social-studies,9,social-studies,6,1,Foundations of High School United States History and Geography,6,Guided practice B: argument from evidence,Guided practice B,argument from evidence,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l07,ma-g9-social-studies,9,social-studies,7,1,Foundations of High School United States History and Geography,7,Investigation or close reading: historical and geographic inquiry,Investigation or close reading,historical and geographic inquiry,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l08,ma-g9-social-studies,9,social-studies,8,1,Foundations of High School United States History and Geography,8,Reteach and varied practice: core ideals in founding documents,Reteach and varied practice,core ideals in founding documents,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l09,ma-g9-social-studies,9,social-studies,9,1,Foundations of High School United States History and Geography,9,Performance task build: change and continuity to 1877,Performance task build,change and continuity to 1877,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
ma-g9-social-studies-u01-l10,ma-g9-social-studies,9,social-studies,10,1,Foundations of High School United States History and Geography,10,Synthesis and review: sourcing and corroboration,Synthesis and review,sourcing and corroboration,USHG F1.1;USHG F1.2;USHG F1.3;P1;P2
