week,day,period_1,period_2,period_3,period_4,period_5,period_6
1,Monday,ma-g7-mathematics-u01-l01,ma-g7-english-language-arts-u01-l01,ma-g7-science-u01-l01,ma-g7-physical-education-u01-l01,ma-g7-financial-literacy-u01-l01,
1,Tuesday,ma-g7-mathematics-u01-l02,ma-g7-english-language-arts-u01-l02,ma-g7-social-studies-u01-l01,ma-g7-arts-and-music-u01-l01,ma-g7-technology-u01-l01,
1,Wednesday,ma-g7-mathematics-u01-l03,ma-g7-english-language-arts-u01-l03,ma-g7-science-u01-l02,ma-g7-physical-education-u01-l02,ma-g7-health-u01-l01,
1,Thursday,ma-g7-mathematics-u01-l04,ma-g7-english-language-arts-u01-l04,ma-g7-social-studies-u01-l02,ma-g7-arts-and-music-u01-l02,ma-g7-ready-for-life-u01-l01,
1,Friday,ma-g7-mathematics-u01-l05,ma-g7-english-language-arts-u01-l05,ma-g7-science-u01-l03,ma-g7-social-studies-u01-l03,ma-g7-physical-education-u01-l03,
2,Monday,ma-g7-mathematics-u01-l06,ma-g7-english-language-arts-u01-l06,ma-g7-science-u01-l04,ma-g7-physical-education-u01-l04,ma-g7-financial-literacy-u01-l02,
2,Tuesday,ma-g7-mathematics-u01-l07,ma-g7-english-language-arts-u01-l07,ma-g7-social-studies-u01-l04,ma-g7-arts-and-music-u01-l03,ma-g7-technology-u01-l02,
2,Wednesday,ma-g7-mathematics-u01-l08,ma-g7-english-language-arts-u01-l08,ma-g7-science-u01-l05,ma-g7-physical-education-u01-l05,ma-g7-health-u01-l02,
2,Thursday,ma-g7-mathematics-u01-l09,ma-g7-english-language-arts-u01-l09,ma-g7-social-studies-u01-l05,ma-g7-arts-and-music-u01-l04,ma-g7-ready-for-life-u01-l02,
2,Friday,ma-g7-mathematics-u01-l10,ma-g7-english-language-arts-u01-l10,ma-g7-science-u01-l06,ma-g7-social-studies-u01-l06,ma-g7-physical-education-u01-l06,
3,Monday,ma-g7-mathematics-u01-l11,ma-g7-english-language-arts-u01-l11,ma-g7-science-u01-l07,ma-g7-physical-education-u01-l07,ma-g7-financial-literacy-u01-l03,
3,Tuesday,ma-g7-mathematics-u01-l12,ma-g7-english-language-arts-u01-l12,ma-g7-social-studies-u01-l07,ma-g7-arts-and-music-u01-l05,ma-g7-technology-u01-l03,
3,Wednesday,ma-g7-mathematics-u01-l13,ma-g7-english-language-arts-u01-l13,ma-g7-science-u01-l08,ma-g7-physical-education-u01-l08,ma-g7-health-u01-l03,
3,Thursday,ma-g7-mathematics-u01-l14,ma-g7-english-language-arts-u01-l14,ma-g7-social-studies-u01-l08,ma-g7-arts-and-music-u01-l06,ma-g7-ready-for-life-u01-l03,
3,Friday,ma-g7-mathematics-u01-l15,ma-g7-english-language-arts-u01-l15,ma-g7-science-u01-l09,ma-g7-social-studies-u01-l09,ma-g7-physical-education-u01-l09,
4,Monday,ma-g7-mathematics-u01-l16,ma-g7-english-language-arts-u01-l16,ma-g7-science-u01-l10,ma-g7-physical-education-u01-l10,ma-g7-financial-literacy-u01-l04,
4,Tuesday,ma-g7-mathematics-u01-l17,ma-g7-english-language-arts-u01-l17,ma-g7-social-studies-u01-l10,ma-g7-arts-and-music-u01-l07,ma-g7-technology-u01-l04,
4,Wednesday,ma-g7-mathematics-u01-l18,ma-g7-english-language-arts-u01-l18,ma-g7-science-u01-l11,ma-g7-physical-education-u01-l11,ma-g7-health-u01-l04,
4,Thursday,ma-g7-mathematics-u02-l01,ma-g7-english-language-arts-u02-l01,ma-g7-social-studies-u01-l11,ma-g7-arts-and-music-u01-l08,ma-g7-ready-for-life-u01-l04,
4,Friday,ma-g7-mathematics-u02-l02,ma-g7-english-language-arts-u02-l02,ma-g7-science-u01-l12,ma-g7-social-studies-u01-l12,ma-g7-physical-education-u01-l12,
5,Monday,ma-g7-mathematics-u02-l03,ma-g7-english-language-arts-u02-l03,ma-g7-science-u02-l01,ma-g7-physical-education-u02-l01,ma-g7-financial-literacy-u01-l05,
5,Tuesday,ma-g7-mathematics-u02-l04,ma-g7-english-language-arts-u02-l04,ma-g7-social-studies-u02-l01,ma-g7-arts-and-music-u01-l09,ma-g7-technology-u01-l05,
5,Wednesday,ma-g7-mathematics-u02-l05,ma-g7-english-language-arts-u02-l05,ma-g7-science-u02-l02,ma-g7-physical-education-u02-l02,ma-g7-health-u01-l05,
5,Thursday,ma-g7-mathematics-u02-l06,ma-g7-english-language-arts-u02-l06,ma-g7-social-studies-u02-l02,ma-g7-arts-and-music-u01-l10,ma-g7-ready-for-life-u01-l05,
5,Friday,ma-g7-mathematics-u02-l07,ma-g7-english-language-arts-u02-l07,ma-g7-science-u02-l03,ma-g7-social-studies-u02-l03,ma-g7-physical-education-u02-l03,
6,Monday,ma-g7-mathematics-u02-l08,ma-g7-english-language-arts-u02-l08,ma-g7-science-u02-l04,ma-g7-physical-education-u02-l04,ma-g7-financial-literacy-u01-l06,
6,Tuesday,ma-g7-mathematics-u02-l09,ma-g7-english-language-arts-u02-l09,ma-g7-social-studies-u02-l04,ma-g7-arts-and-music-u01-l11,ma-g7-technology-u01-l06,
6,Wednesday,ma-g7-mathematics-u02-l10,ma-g7-english-language-arts-u02-l10,ma-g7-science-u02-l05,ma-g7-physical-education-u02-l05,ma-g7-health-u01-l06,
6,Thursday,ma-g7-mathematics-u02-l11,ma-g7-english-language-arts-u02-l11,ma-g7-social-studies-u02-l05,ma-g7-arts-and-music-u01-l12,ma-g7-ready-for-life-u01-l06,
6,Friday,ma-g7-mathematics-u02-l12,ma-g7-english-language-arts-u02-l12,ma-g7-science-u02-l06,ma-g7-social-studies-u02-l06,ma-g7-physical-education-u02-l06,
7,Monday,ma-g7-mathematics-u02-l13,ma-g7-english-language-arts-u02-l13,ma-g7-science-u02-l07,ma-g7-physical-education-u02-l07,ma-g7-financial-literacy-u02-l01,
7,Tuesday,ma-g7-mathematics-u02-l14,ma-g7-english-language-arts-u02-l14,ma-g7-social-studies-u02-l07,ma-g7-arts-and-music-u02-l01,ma-g7-technology-u02-l01,
7,Wednesday,ma-g7-mathematics-u02-l15,ma-g7-english-language-arts-u02-l15,ma-g7-science-u02-l08,ma-g7-physical-education-u02-l08,ma-g7-health-u02-l01,
7,Thursday,ma-g7-mathematics-u02-l16,ma-g7-english-language-arts-u02-l16,ma-g7-social-studies-u02-l08,ma-g7-arts-and-music-u02-l02,ma-g7-ready-for-life-u02-l01,
7,Friday,ma-g7-mathematics-u02-l17,ma-g7-english-language-arts-u02-l17,ma-g7-science-u02-l09,ma-g7-social-studies-u02-l09,ma-g7-physical-education-u02-l09,
8,Monday,ma-g7-mathematics-u02-l18,ma-g7-english-language-arts-u02-l18,ma-g7-science-u02-l10,ma-g7-physical-education-u02-l10,ma-g7-financial-literacy-u02-l02,
8,Tuesday,ma-g7-mathematics-u03-l01,ma-g7-english-language-arts-u03-l01,ma-g7-social-studies-u02-l10,ma-g7-arts-and-music-u02-l03,ma-g7-technology-u02-l02,
8,Wednesday,ma-g7-mathematics-u03-l02,ma-g7-english-language-arts-u03-l02,ma-g7-science-u02-l11,ma-g7-physical-education-u02-l11,ma-g7-health-u02-l02,
8,Thursday,ma-g7-mathematics-u03-l03,ma-g7-english-language-arts-u03-l03,ma-g7-social-studies-u02-l11,ma-g7-arts-and-music-u02-l04,ma-g7-ready-for-life-u02-l02,
8,Friday,ma-g7-mathematics-u03-l04,ma-g7-english-language-arts-u03-l04,ma-g7-science-u02-l12,ma-g7-social-studies-u02-l12,ma-g7-physical-education-u02-l12,
9,Monday,ma-g7-mathematics-u03-l05,ma-g7-english-language-arts-u03-l05,ma-g7-science-u03-l01,ma-g7-physical-education-u03-l01,ma-g7-financial-literacy-u02-l03,
9,Tuesday,ma-g7-mathematics-u03-l06,ma-g7-english-language-arts-u03-l06,ma-g7-social-studies-u03-l01,ma-g7-arts-and-music-u02-l05,ma-g7-technology-u02-l03,
9,Wednesday,ma-g7-mathematics-u03-l07,ma-g7-english-language-arts-u03-l07,ma-g7-science-u03-l02,ma-g7-physical-education-u03-l02,ma-g7-health-u02-l03,
9,Thursday,ma-g7-mathematics-u03-l08,ma-g7-english-language-arts-u03-l08,ma-g7-social-studies-u03-l02,ma-g7-arts-and-music-u02-l06,ma-g7-ready-for-life-u02-l03,
9,Friday,ma-g7-mathematics-u03-l09,ma-g7-english-language-arts-u03-l09,ma-g7-science-u03-l03,ma-g7-social-studies-u03-l03,ma-g7-physical-education-u03-l03,
10,Monday,ma-g7-mathematics-u03-l10,ma-g7-english-language-arts-u03-l10,ma-g7-science-u03-l04,ma-g7-physical-education-u03-l04,ma-g7-financial-literacy-u02-l04,
10,Tuesday,ma-g7-mathematics-u03-l11,ma-g7-english-language-arts-u03-l11,ma-g7-social-studies-u03-l04,ma-g7-arts-and-music-u02-l07,ma-g7-technology-u02-l04,
10,Wednesday,ma-g7-mathematics-u03-l12,ma-g7-english-language-arts-u03-l12,ma-g7-science-u03-l05,ma-g7-physical-education-u03-l05,ma-g7-health-u02-l04,
10,Thursday,ma-g7-mathematics-u03-l13,ma-g7-english-language-arts-u03-l13,ma-g7-social-studies-u03-l05,ma-g7-arts-and-music-u02-l08,ma-g7-ready-for-life-u02-l04,
10,Friday,ma-g7-mathematics-u03-l14,ma-g7-english-language-arts-u03-l14,ma-g7-science-u03-l06,ma-g7-social-studies-u03-l06,ma-g7-physical-education-u03-l06,
11,Monday,ma-g7-mathematics-u03-l15,ma-g7-english-language-arts-u03-l15,ma-g7-science-u03-l07,ma-g7-physical-education-u03-l07,ma-g7-financial-literacy-u02-l05,
11,Tuesday,ma-g7-mathematics-u03-l16,ma-g7-english-language-arts-u03-l16,ma-g7-social-studies-u03-l07,ma-g7-arts-and-music-u02-l09,ma-g7-technology-u02-l05,
11,Wednesday,ma-g7-mathematics-u03-l17,ma-g7-english-language-arts-u03-l17,ma-g7-science-u03-l08,ma-g7-physical-education-u03-l08,ma-g7-health-u02-l05,
11,Thursday,ma-g7-mathematics-u03-l18,ma-g7-english-language-arts-u03-l18,ma-g7-social-studies-u03-l08,ma-g7-arts-and-music-u02-l10,ma-g7-ready-for-life-u02-l05,
11,Friday,ma-g7-mathematics-u04-l01,ma-g7-english-language-arts-u04-l01,ma-g7-science-u03-l09,ma-g7-social-studies-u03-l09,ma-g7-physical-education-u03-l09,
12,Monday,ma-g7-mathematics-u04-l02,ma-g7-english-language-arts-u04-l02,ma-g7-science-u03-l10,ma-g7-physical-education-u03-l10,ma-g7-financial-literacy-u02-l06,
12,Tuesday,ma-g7-mathematics-u04-l03,ma-g7-english-language-arts-u04-l03,ma-g7-social-studies-u03-l10,ma-g7-arts-and-music-u02-l11,ma-g7-technology-u02-l06,
12,Wednesday,ma-g7-mathematics-u04-l04,ma-g7-english-language-arts-u04-l04,ma-g7-science-u03-l11,ma-g7-physical-education-u03-l11,ma-g7-health-u02-l06,
12,Thursday,ma-g7-mathematics-u04-l05,ma-g7-english-language-arts-u04-l05,ma-g7-social-studies-u03-l11,ma-g7-arts-and-music-u02-l12,ma-g7-ready-for-life-u02-l06,
12,Friday,ma-g7-mathematics-u04-l06,ma-g7-english-language-arts-u04-l06,ma-g7-science-u03-l12,ma-g7-social-studies-u03-l12,ma-g7-physical-education-u03-l12,
13,Monday,ma-g7-mathematics-u04-l07,ma-g7-english-language-arts-u04-l07,ma-g7-science-u04-l01,ma-g7-physical-education-u04-l01,ma-g7-financial-literacy-u03-l01,
13,Tuesday,ma-g7-mathematics-u04-l08,ma-g7-english-language-arts-u04-l08,ma-g7-social-studies-u04-l01,ma-g7-arts-and-music-u03-l01,ma-g7-technology-u03-l01,
13,Wednesday,ma-g7-mathematics-u04-l09,ma-g7-english-language-arts-u04-l09,ma-g7-science-u04-l02,ma-g7-physical-education-u04-l02,ma-g7-health-u03-l01,
13,Thursday,ma-g7-mathematics-u04-l10,ma-g7-english-language-arts-u04-l10,ma-g7-social-studies-u04-l02,ma-g7-arts-and-music-u03-l02,ma-g7-ready-for-life-u03-l01,
13,Friday,ma-g7-mathematics-u04-l11,ma-g7-english-language-arts-u04-l11,ma-g7-science-u04-l03,ma-g7-social-studies-u04-l03,ma-g7-physical-education-u04-l03,
14,Monday,ma-g7-mathematics-u04-l12,ma-g7-english-language-arts-u04-l12,ma-g7-science-u04-l04,ma-g7-physical-education-u04-l04,ma-g7-financial-literacy-u03-l02,
14,Tuesday,ma-g7-mathematics-u04-l13,ma-g7-english-language-arts-u04-l13,ma-g7-social-studies-u04-l04,ma-g7-arts-and-music-u03-l03,ma-g7-technology-u03-l02,
14,Wednesday,ma-g7-mathematics-u04-l14,ma-g7-english-language-arts-u04-l14,ma-g7-science-u04-l05,ma-g7-physical-education-u04-l05,ma-g7-health-u03-l02,
14,Thursday,ma-g7-mathematics-u04-l15,ma-g7-english-language-arts-u04-l15,ma-g7-social-studies-u04-l05,ma-g7-arts-and-music-u03-l04,ma-g7-ready-for-life-u03-l02,
14,Friday,ma-g7-mathematics-u04-l16,ma-g7-english-language-arts-u04-l16,ma-g7-science-u04-l06,ma-g7-social-studies-u04-l06,ma-g7-physical-education-u04-l06,
15,Monday,ma-g7-mathematics-u04-l17,ma-g7-english-language-arts-u04-l17,ma-g7-science-u04-l07,ma-g7-physical-education-u04-l07,ma-g7-financial-literacy-u03-l03,
