lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,standards
ma-g5-mathematics-u01-l01,ma-g5-mathematics,5,mathematics,1,1,Mathematical Habits and Whole-Number Reasoning,1,Launch and diagnostic: problem-solving routines,Launch and diagnostic,problem-solving routines,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l02,ma-g5-mathematics,5,mathematics,2,1,Mathematical Habits and Whole-Number Reasoning,2,Concept model A: reading and writing numerical expressions,Concept model A,reading and writing numerical expressions,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l03,ma-g5-mathematics,5,mathematics,3,1,Mathematical Habits and Whole-Number Reasoning,3,Guided practice A: place-value language,Guided practice A,place-value language,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l04,ma-g5-mathematics,5,mathematics,4,1,Mathematical Habits and Whole-Number Reasoning,4,Independent application A: estimation and reasonableness,Independent application A,estimation and reasonableness,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l05,ma-g5-mathematics,5,mathematics,5,1,Mathematical Habits and Whole-Number Reasoning,5,Concept model B: explaining strategies,Concept model B,explaining strategies,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l06,ma-g5-mathematics,5,mathematics,6,1,Mathematical Habits and Whole-Number Reasoning,6,Guided practice B: analyzing errors,Guided practice B,analyzing errors,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l07,ma-g5-mathematics,5,mathematics,7,1,Mathematical Habits and Whole-Number Reasoning,7,Investigation or close reading: problem-solving routines,Investigation or close reading,problem-solving routines,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l08,ma-g5-mathematics,5,mathematics,8,1,Mathematical Habits and Whole-Number Reasoning,8,Reteach and varied practice: reading and writing numerical expressions,Reteach and varied practice,reading and writing numerical expressions,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l09,ma-g5-mathematics,5,mathematics,9,1,Mathematical Habits and Whole-Number Reasoning,9,Concept model C: place-value language,Concept model C,place-value language,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l10,ma-g5-mathematics,5,mathematics,10,1,Mathematical Habits and Whole-Number Reasoning,10,Discussion or problem seminar: estimation and reasonableness,Discussion or problem seminar,estimation and reasonableness,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l11,ma-g5-mathematics,5,mathematics,11,1,Mathematical Habits and Whole-Number Reasoning,11,Performance task planning: explaining strategies,Performance task planning,explaining strategies,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l12,ma-g5-mathematics,5,mathematics,12,1,Mathematical Habits and Whole-Number Reasoning,12,Performance task build: analyzing errors,Performance task build,analyzing errors,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
ma-g5-mathematics-u01-l13,ma-g5-mathematics,5,mathematics,13,1,Mathematical Habits and Whole-Number Reasoning,13,Skill consolidation: problem-solving routines,Skill consolidation,problem-solving routines,5.OA.1;5.OA.2;5.NBT.1;MP.1;MP.3;MP.6
