lesson_id,sealed_course_day,integrated_course_day,shift,delivery,treatment
ma-g8-mathematics-u01-l01,1,1,0,required,unchanged content
ma-g8-mathematics-u01-l02,2,2,0,required,unchanged content
ma-g8-mathematics-u01-l03,3,3,0,required,unchanged content
ma-g8-mathematics-u01-l04,4,4,0,required,unchanged content
ma-g8-mathematics-u01-l05,5,5,0,required,unchanged content
ma-g8-mathematics-u01-l06,6,6,0,required,unchanged content
ma-g8-mathematics-u01-l07,7,7,0,required,unchanged content
ma-g8-mathematics-u01-l08,8,8,0,required,unchanged content
ma-g8-mathematics-u01-l09,9,9,0,required,unchanged content
ma-g8-mathematics-u01-l10,10,10,0,required,unchanged content
ma-g8-mathematics-u01-l11,11,11,0,required,unchanged content
ma-g8-mathematics-u01-l12,12,12,0,required,unchanged content
ma-g8-mathematics-u01-l13,13,13,0,required,unchanged content
ma-g8-mathematics-u01-l14,14,14,0,required,unchanged content
ma-g8-mathematics-u01-l15,15,15,0,required,unchanged content
ma-g8-mathematics-u01-l16,16,16,0,required,unchanged content
ma-g8-mathematics-u01-l17,17,17,0,required,unchanged content
ma-g8-mathematics-u01-l18,18,18,0,required,unchanged content
ma-g8-mathematics-u02-l01,19,23,4,required,unchanged content
ma-g8-mathematics-u02-l02,20,24,4,required,unchanged content
ma-g8-mathematics-u02-l03,21,25,4,required,unchanged content
ma-g8-mathematics-u02-l04,22,26,4,required,unchanged content
ma-g8-mathematics-u02-l05,23,27,4,required,unchanged content
ma-g8-mathematics-u02-l06,24,28,4,required,unchanged content
ma-g8-mathematics-u02-l07,25,29,4,required,unchanged content
ma-g8-mathematics-u02-l08,26,30,4,required,unchanged content
ma-g8-mathematics-u02-l09,27,31,4,required,unchanged content
ma-g8-mathematics-u02-l10,28,32,4,required,unchanged content
ma-g8-mathematics-u02-l11,29,33,4,required,unchanged content
ma-g8-mathematics-u02-l12,30,34,4,required,unchanged content
ma-g8-mathematics-u02-l13,31,35,4,required,unchanged content
ma-g8-mathematics-u02-l14,32,36,4,required,unchanged content
ma-g8-mathematics-u02-l15,33,37,4,required,unchanged content
ma-g8-mathematics-u02-l16,34,38,4,required,unchanged content
ma-g8-mathematics-u02-l17,35,39,4,required,unchanged content
ma-g8-mathematics-u02-l18,36,40,4,required,unchanged content
ma-g8-mathematics-u03-l01,37,41,4,required,unchanged content
ma-g8-mathematics-u03-l02,38,42,4,required,unchanged content
ma-g8-mathematics-u03-l03,39,43,4,required,unchanged content
ma-g8-mathematics-u03-l04,40,44,4,required,unchanged content
ma-g8-mathematics-u03-l05,41,45,4,required,unchanged content
ma-g8-mathematics-u03-l06,42,46,4,required,unchanged content
ma-g8-mathematics-u03-l07,43,47,4,required,unchanged content
ma-g8-mathematics-u03-l08,44,48,4,required,unchanged content
ma-g8-mathematics-u03-l09,45,49,4,required,unchanged content
ma-g8-mathematics-u03-l10,46,50,4,required,unchanged content
ma-g8-mathematics-u03-l11,47,51,4,required,unchanged content
ma-g8-mathematics-u03-l12,48,52,4,required,unchanged content
ma-g8-mathematics-u03-l13,49,53,4,required,unchanged content
ma-g8-mathematics-u03-l14,50,54,4,required,unchanged content
ma-g8-mathematics-u03-l15,51,55,4,required,unchanged content
ma-g8-mathematics-u03-l16,52,56,4,required,unchanged content
ma-g8-mathematics-u03-l17,53,57,4,required,unchanged content
ma-g8-mathematics-u03-l18,54,58,4,required,unchanged content
ma-g8-mathematics-u04-l01,55,59,4,required,unchanged content
ma-g8-mathematics-u04-l02,56,60,4,required,unchanged content
ma-g8-mathematics-u04-l03,57,61,4,required,unchanged content
ma-g8-mathematics-u04-l04,58,62,4,required,unchanged content
ma-g8-mathematics-u04-l05,59,63,4,required,unchanged content
ma-g8-mathematics-u04-l06,60,64,4,required,unchanged content
ma-g8-mathematics-u04-l07,61,65,4,required,unchanged content
