course_day,lesson_id,package,answer_key,status,origin
1,ma-g3-mathematics-u01-l01,active/packages/grade-03/ma-g3-mathematics-u01-l01.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l01.key.json,ACTIVE,g34-production
2,ma-g3-mathematics-u01-l02,active/packages/grade-03/ma-g3-mathematics-u01-l02.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l02.key.json,ACTIVE,g34-production
3,ma-g3-mathematics-u01-l03,active/packages/grade-03/ma-g3-mathematics-u01-l03.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l03.key.json,ACTIVE,g34-production
4,ma-g3-mathematics-u01-l04,active/packages/grade-03/ma-g3-mathematics-u01-l04.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l04.key.json,ACTIVE,g34-production
5,ma-g3-mathematics-u01-l05,active/packages/grade-03/ma-g3-mathematics-u01-l05.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l05.key.json,ACTIVE,g34-production
6,ma-g3-mathematics-u01-l06,active/packages/grade-03/ma-g3-mathematics-u01-l06.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l06.key.json,ACTIVE,g34-production
7,ma-g3-mathematics-u01-l07,active/packages/grade-03/ma-g3-mathematics-u01-l07.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l07.key.json,ACTIVE,g34-production
8,ma-g3-mathematics-u01-l08,active/packages/grade-03/ma-g3-mathematics-u01-l08.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l08.key.json,ACTIVE,g34-production
9,ma-g3-mathematics-u01-l09,active/packages/grade-03/ma-g3-mathematics-u01-l09.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l09.key.json,ACTIVE,g34-production
10,ma-g3-mathematics-u01-l10,active/packages/grade-03/ma-g3-mathematics-u01-l10.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l10.key.json,ACTIVE,g34-production
11,ma-g3-mathematics-u01-l11,active/packages/grade-03/ma-g3-mathematics-u01-l11.package.json,active/answer-keys/grade-03/ma-g3-mathematics-u01-l11.key.json,ACTIVE,g34-production
