week,session_in_week,day_suggestion,course_day,unit_number,day_in_unit,lesson_id
1,1,Wednesday,1,1,1,ma-g4-health-u01-l01
2,1,Wednesday,2,1,2,ma-g4-health-u01-l02
3,1,Wednesday,3,1,3,ma-g4-health-u01-l03
4,1,Wednesday,4,1,4,ma-g4-health-u01-l04
5,1,Wednesday,5,1,5,ma-g4-health-u01-l05
6,1,Wednesday,6,1,6,ma-g4-health-u01-l06
7,1,Wednesday,7,2,1,ma-g4-health-u02-l01
8,1,Wednesday,8,2,2,ma-g4-health-u02-l02
9,1,Wednesday,9,2,3,ma-g4-health-u02-l03
10,1,Wednesday,10,2,4,ma-g4-health-u02-l04
11,1,Wednesday,11,2,5,ma-g4-health-u02-l05
12,1,Wednesday,12,2,6,ma-g4-health-u02-l06
13,1,Wednesday,13,3,1,ma-g4-health-u03-l01
14,1,Wednesday,14,3,2,ma-g4-health-u03-l02
15,1,Wednesday,15,3,3,ma-g4-health-u03-l03
16,1,Wednesday,16,3,4,ma-g4-health-u03-l04
17,1,Wednesday,17,3,5,ma-g4-health-u03-l05
18,1,Wednesday,18,3,6,ma-g4-health-u03-l06
19,1,Wednesday,19,4,1,ma-g4-health-u04-l01
20,1,Wednesday,20,4,2,ma-g4-health-u04-l02
21,1,Wednesday,21,4,3,ma-g4-health-u04-l03
22,1,Wednesday,22,4,4,ma-g4-health-u04-l04
23,1,Wednesday,23,4,5,ma-g4-health-u04-l05
24,1,Wednesday,24,4,6,ma-g4-health-u04-l06
25,1,Wednesday,25,5,1,ma-g4-health-u05-l01
26,1,Wednesday,26,5,2,ma-g4-health-u05-l02
27,1,Wednesday,27,5,3,ma-g4-health-u05-l03
28,1,Wednesday,28,5,4,ma-g4-health-u05-l04
29,1,Wednesday,29,5,5,ma-g4-health-u05-l05
30,1,Wednesday,30,5,6,ma-g4-health-u05-l06
31,1,Wednesday,31,6,1,ma-g4-health-u06-l01
32,1,Wednesday,32,6,2,ma-g4-health-u06-l02
33,1,Wednesday,33,6,3,ma-g4-health-u06-l03
34,1,Wednesday,34,6,4,ma-g4-health-u06-l04
35,1,Wednesday,35,6,5,ma-g4-health-u06-l05
36,1,Wednesday,36,6,6,ma-g4-health-u06-l06
