lesson_id,course_id,grade,subject,unit_number,course_day,day_in_unit,phase,title
ma-g3-mathematics-u01-l01,ma-g3-mathematics,3,mathematics,1,1,1,Launch and diagnostic,Launch and diagnostic: making sense of unfamiliar problems
ma-g3-mathematics-u01-l02,ma-g3-mathematics,3,mathematics,1,2,2,Concept build A,Concept build A: the place-value structure of three-digit numbers
ma-g3-mathematics-u01-l03,ma-g3-mathematics,3,mathematics,1,3,3,Concept build B,Concept build B: locating three-digit numbers on an open number line
ma-g3-mathematics-u01-l04,ma-g3-mathematics,3,mathematics,1,4,4,Guided practice A,Guided practice A: rounding to the nearest ten
ma-g3-mathematics-u01-l05,ma-g3-mathematics,3,mathematics,1,5,5,Independent evidence A,Independent evidence A: rounding to the nearest hundred
ma-g3-mathematics-u01-l06,ma-g3-mathematics,3,mathematics,1,6,6,Concept build C,"Concept build C: addition within 1,000 by decomposing place values"
ma-g3-mathematics-u01-l07,ma-g3-mathematics,3,mathematics,1,7,7,Guided practice B,Guided practice B: addition with regrouping across place values
ma-g3-mathematics-u01-l08,ma-g3-mathematics,3,mathematics,1,8,8,Error analysis and repair,Error analysis and repair: regrouping errors in written addition
ma-g3-mathematics-u01-l09,ma-g3-mathematics,3,mathematics,1,9,9,Retrieval and fluency,"Retrieval and fluency: addition within 1,000"
ma-g3-mathematics-u01-l10,ma-g3-mathematics,3,mathematics,1,10,10,Independent evidence B,"Independent evidence B: subtraction within 1,000 by decomposing place values"
ma-g3-mathematics-u01-l11,ma-g3-mathematics,3,mathematics,1,11,11,Concept extension,Concept extension: subtraction with regrouping across zeros
ma-g3-mathematics-u01-l12,ma-g3-mathematics,3,mathematics,1,12,12,Applied problem solving,Applied problem solving: choosing between an exact answer and an estimate
ma-g3-mathematics-u01-l13,ma-g3-mathematics,3,mathematics,1,13,13,Performance task: plan,Performance task: plan: the Number Sense Toolkit
ma-g3-mathematics-u01-l14,ma-g3-mathematics,3,mathematics,1,14,14,Performance task: build,Performance task: build: worked examples with reasonableness checks
ma-g3-mathematics-u01-l15,ma-g3-mathematics,3,mathematics,1,15,15,Synthesis and review,"Synthesis and review: place value, rounding, addition, and subtraction"
ma-g3-mathematics-u01-l16,ma-g3-mathematics,3,mathematics,1,16,16,Unit assessment,"Unit assessment: rounding and computation within 1,000"
ma-g3-mathematics-u01-l17,ma-g3-mathematics,3,mathematics,1,17,17,Targeted correction and reassessment,Targeted correction and reassessment: rounding and regrouping
ma-g3-mathematics-u01-l18,ma-g3-mathematics,3,mathematics,1,18,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: estimating and checking in everyday situations"
ma-g3-mathematics-u02-l01,ma-g3-mathematics,3,mathematics,2,19,1,Launch and diagnostic,Launch and diagnostic: noticing equal groups in everyday situations
ma-g3-mathematics-u02-l02,ma-g3-mathematics,3,mathematics,2,20,2,Concept build A,Concept build A: multiplication as a count of equal groups
ma-g3-mathematics-u02-l03,ma-g3-mathematics,3,mathematics,2,21,3,Concept build B,"Concept build B: arrays, rows, and columns as multiplication models"
ma-g3-mathematics-u02-l04,ma-g3-mathematics,3,mathematics,2,22,4,Guided practice A,Guided practice A: writing multiplication equations from models
ma-g3-mathematics-u02-l05,ma-g3-mathematics,3,mathematics,2,23,5,Independent evidence A,Independent evidence A: interpreting products in context
ma-g3-mathematics-u02-l06,ma-g3-mathematics,3,mathematics,2,24,6,Concept build C,Concept build C: division as sharing a total into equal groups
ma-g3-mathematics-u02-l07,ma-g3-mathematics,3,mathematics,2,25,7,Guided practice B,Guided practice B: division as measuring out groups of a known size
ma-g3-mathematics-u02-l08,ma-g3-mathematics,3,mathematics,2,26,8,Error analysis and repair,Error analysis and repair: group-size versus group-count errors
ma-g3-mathematics-u02-l09,ma-g3-mathematics,3,mathematics,2,27,9,Retrieval and fluency,Retrieval and fluency: equal-group models
ma-g3-mathematics-u02-l10,ma-g3-mathematics,3,mathematics,2,28,10,Independent evidence B,Independent evidence B: solving multiplication and division word problems within 100
ma-g3-mathematics-u02-l11,ma-g3-mathematics,3,mathematics,2,29,11,Concept extension,Concept extension: unknown-factor problems and fact families
ma-g3-mathematics-u02-l12,ma-g3-mathematics,3,mathematics,2,30,12,Applied problem solving,Applied problem solving: multiplication and division as inverse operations
ma-g3-mathematics-u02-l13,ma-g3-mathematics,3,mathematics,2,31,13,Performance task: plan,Performance task: plan: the Equal Groups Museum
ma-g3-mathematics-u02-l14,ma-g3-mathematics,3,mathematics,2,32,14,Performance task: build,Performance task: build: exhibits with matched models and equations
ma-g3-mathematics-u02-l15,ma-g3-mathematics,3,mathematics,2,33,15,Synthesis and review,Synthesis and review: operation meanings and relationships
ma-g3-mathematics-u02-l16,ma-g3-mathematics,3,mathematics,2,34,16,Unit assessment,Unit assessment: meanings of multiplication and division
ma-g3-mathematics-u02-l17,ma-g3-mathematics,3,mathematics,2,35,17,Targeted correction and reassessment,Targeted correction and reassessment: operation meaning
ma-g3-mathematics-u02-l18,ma-g3-mathematics,3,mathematics,2,36,18,"Transfer, reflection, and publication","Transfer, reflection, and publication: choosing an operation for a new situation"
ma-g3-mathematics-u03-l01,ma-g3-mathematics,3,mathematics,3,37,1,Launch and diagnostic,Launch and diagnostic: what it means for a fact to be known rather than counted
ma-g3-mathematics-u03-l02,ma-g3-mathematics,3,mathematics,3,38,2,Concept build A,"Concept build A: doubling and the twos, fours, and eights chain"
ma-g3-mathematics-u03-l03,ma-g3-mathematics,3,mathematics,3,39,3,Concept build B,Concept build B: fives and tens from place-value patterns
ma-g3-mathematics-u03-l04,ma-g3-mathematics,3,mathematics,3,40,4,Guided practice A,Guided practice A: using the commutative property to halve the fact load
ma-g3-mathematics-u03-l05,ma-g3-mathematics,3,mathematics,3,41,5,Independent evidence A,Independent evidence A: deriving threes and sixes from known facts
ma-g3-mathematics-u03-l06,ma-g3-mathematics,3,mathematics,3,42,6,Concept build C,Concept build C: the distributive property: breaking a factor apart
ma-g3-mathematics-u03-l07,ma-g3-mathematics,3,mathematics,3,43,7,Guided practice B,Guided practice B: sevens and nines using break-apart strategies
ma-g3-mathematics-u03-l08,ma-g3-mathematics,3,mathematics,3,44,8,Error analysis and repair,Error analysis and repair: near-miss and skip-counting errors
ma-g3-mathematics-u03-l09,ma-g3-mathematics,3,mathematics,3,45,9,Retrieval and fluency,Retrieval and fluency: mixed products within 100
ma-g3-mathematics-u03-l10,ma-g3-mathematics,3,mathematics,3,46,10,Independent evidence B,Independent evidence B: solving unknown-factor equations
ma-g3-mathematics-u03-l11,ma-g3-mathematics,3,mathematics,3,47,11,Concept extension,Concept extension: multiplying one-digit numbers by multiples of ten
ma-g3-mathematics-u03-l12,ma-g3-mathematics,3,mathematics,3,48,12,Applied problem solving,Applied problem solving: division facts derived from related multiplication
ma-g3-mathematics-u03-l13,ma-g3-mathematics,3,mathematics,3,49,13,Performance task: plan,Performance task: plan: the fact-strategy deck
ma-g3-mathematics-u03-l14,ma-g3-mathematics,3,mathematics,3,50,14,Performance task: build,Performance task: build: strategy cards with models and checks
ma-g3-mathematics-u03-l15,ma-g3-mathematics,3,mathematics,3,51,15,Synthesis and review,Synthesis and review: choosing an efficient strategy
