course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g3-health,1,1,Wednesday,1,1,1,ma-g3-health-u01-l01
ma-g3-health,2,1,Wednesday,2,1,2,ma-g3-health-u01-l02
ma-g3-health,3,1,Wednesday,3,1,3,ma-g3-health-u01-l03
ma-g3-health,4,1,Wednesday,4,1,4,ma-g3-health-u01-l04
ma-g3-health,5,1,Wednesday,5,1,5,ma-g3-health-u01-l05
ma-g3-health,6,1,Wednesday,6,1,6,ma-g3-health-u01-l06
ma-g3-health,7,1,Wednesday,7,2,1,ma-g3-health-u02-l01
ma-g3-health,8,1,Wednesday,8,2,2,ma-g3-health-u02-l02
ma-g3-health,9,1,Wednesday,9,2,3,ma-g3-health-u02-l03
ma-g3-health,10,1,Wednesday,10,2,4,ma-g3-health-u02-l04
ma-g3-health,11,1,Wednesday,11,2,5,ma-g3-health-u02-l05
ma-g3-health,12,1,Wednesday,12,2,6,ma-g3-health-u02-l06
ma-g3-health,13,1,Wednesday,13,3,1,ma-g3-health-u03-l01
ma-g3-health,14,1,Wednesday,14,3,2,ma-g3-health-u03-l02
ma-g3-health,15,1,Wednesday,15,3,3,ma-g3-health-u03-l03
ma-g3-health,16,1,Wednesday,16,3,4,ma-g3-health-u03-l04
ma-g3-health,17,1,Wednesday,17,3,5,ma-g3-health-u03-l05
ma-g3-health,18,1,Wednesday,18,3,6,ma-g3-health-u03-l06
ma-g3-health,19,1,Wednesday,19,4,1,ma-g3-health-u04-l01
ma-g3-health,20,1,Wednesday,20,4,2,ma-g3-health-u04-l02
ma-g3-health,21,1,Wednesday,21,4,3,ma-g3-health-u04-l03
ma-g3-health,22,1,Wednesday,22,4,4,ma-g3-health-u04-l04
ma-g3-health,23,1,Wednesday,23,4,5,ma-g3-health-u04-l05
ma-g3-health,24,1,Wednesday,24,4,6,ma-g3-health-u04-l06
ma-g3-health,25,1,Wednesday,25,5,1,ma-g3-health-u05-l01
ma-g3-health,26,1,Wednesday,26,5,2,ma-g3-health-u05-l02
ma-g3-health,27,1,Wednesday,27,5,3,ma-g3-health-u05-l03
ma-g3-health,28,1,Wednesday,28,5,4,ma-g3-health-u05-l04
ma-g3-health,29,1,Wednesday,29,5,5,ma-g3-health-u05-l05
ma-g3-health,30,1,Wednesday,30,5,6,ma-g3-health-u05-l06
ma-g3-health,31,1,Wednesday,31,6,1,ma-g3-health-u06-l01
ma-g3-health,32,1,Wednesday,32,6,2,ma-g3-health-u06-l02
ma-g3-health,33,1,Wednesday,33,6,3,ma-g3-health-u06-l03
ma-g3-health,34,1,Wednesday,34,6,4,ma-g3-health-u06-l04
ma-g3-health,35,1,Wednesday,35,6,5,ma-g3-health-u06-l05
ma-g3-health,36,1,Wednesday,36,6,6,ma-g3-health-u06-l06
