course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g3-social-studies,1,1,,1,1,1,ma-g3-social-studies-u01-l01
ma-g3-social-studies,1,2,,2,1,2,ma-g3-social-studies-u01-l02
ma-g3-social-studies,1,3,,3,1,3,ma-g3-social-studies-u01-l03
ma-g3-social-studies,2,1,,4,1,4,ma-g3-social-studies-u01-l04
ma-g3-social-studies,2,2,,5,1,5,ma-g3-social-studies-u01-l05
ma-g3-social-studies,2,3,,6,1,6,ma-g3-social-studies-u01-l06
ma-g3-social-studies,3,1,,7,1,7,ma-g3-social-studies-u01-l07
ma-g3-social-studies,3,2,,8,1,8,ma-g3-social-studies-u01-l08
ma-g3-social-studies,3,3,,9,1,9,ma-g3-social-studies-u01-l09
ma-g3-social-studies,4,1,,10,1,10,ma-g3-social-studies-u01-l10
ma-g3-social-studies,4,2,,11,1,11,ma-g3-social-studies-u01-l11
ma-g3-social-studies,4,3,,12,1,12,ma-g3-social-studies-u01-l12
ma-g3-social-studies,5,1,,13,2,1,ma-g3-social-studies-u02-l01
ma-g3-social-studies,5,2,,14,2,2,ma-g3-social-studies-u02-l02
ma-g3-social-studies,5,3,,15,2,3,ma-g3-social-studies-u02-l03
ma-g3-social-studies,6,1,,16,2,4,ma-g3-social-studies-u02-l04
ma-g3-social-studies,6,2,,17,2,5,ma-g3-social-studies-u02-l05
ma-g3-social-studies,6,3,,18,2,6,ma-g3-social-studies-u02-l06
ma-g3-social-studies,7,1,,19,2,7,ma-g3-social-studies-u02-l07
ma-g3-social-studies,7,2,,20,2,8,ma-g3-social-studies-u02-l08
ma-g3-social-studies,7,3,,21,2,9,ma-g3-social-studies-u02-l09
ma-g3-social-studies,8,1,,22,2,10,ma-g3-social-studies-u02-l10
ma-g3-social-studies,8,2,,23,2,11,ma-g3-social-studies-u02-l11
ma-g3-social-studies,8,3,,24,2,12,ma-g3-social-studies-u02-l12
ma-g3-social-studies,9,1,,25,3,1,ma-g3-social-studies-u03-l01
ma-g3-social-studies,9,2,,26,3,2,ma-g3-social-studies-u03-l02
ma-g3-social-studies,9,3,,27,3,3,ma-g3-social-studies-u03-l03
ma-g3-social-studies,10,1,,28,3,4,ma-g3-social-studies-u03-l04
ma-g3-social-studies,10,2,,29,3,5,ma-g3-social-studies-u03-l05
ma-g3-social-studies,10,3,,30,3,6,ma-g3-social-studies-u03-l06
ma-g3-social-studies,11,1,,31,3,7,ma-g3-social-studies-u03-l07
ma-g3-social-studies,11,2,,32,3,8,ma-g3-social-studies-u03-l08
ma-g3-social-studies,11,3,,33,3,9,ma-g3-social-studies-u03-l09
ma-g3-social-studies,12,1,,34,3,10,ma-g3-social-studies-u03-l10
ma-g3-social-studies,12,2,,35,3,11,ma-g3-social-studies-u03-l11
ma-g3-social-studies,12,3,,36,3,12,ma-g3-social-studies-u03-l12
ma-g3-social-studies,13,1,,37,4,1,ma-g3-social-studies-u04-l01
ma-g3-social-studies,13,2,,38,4,2,ma-g3-social-studies-u04-l02
ma-g3-social-studies,13,3,,39,4,3,ma-g3-social-studies-u04-l03
ma-g3-social-studies,14,1,,40,4,4,ma-g3-social-studies-u04-l04
ma-g3-social-studies,14,2,,41,4,5,ma-g3-social-studies-u04-l05
ma-g3-social-studies,14,3,,42,4,6,ma-g3-social-studies-u04-l06
ma-g3-social-studies,15,1,,43,4,7,ma-g3-social-studies-u04-l07
ma-g3-social-studies,15,2,,44,4,8,ma-g3-social-studies-u04-l08
ma-g3-social-studies,15,3,,45,4,9,ma-g3-social-studies-u04-l09
ma-g3-social-studies,16,1,,46,4,10,ma-g3-social-studies-u04-l10
ma-g3-social-studies,16,2,,47,4,11,ma-g3-social-studies-u04-l11
ma-g3-social-studies,16,3,,48,4,12,ma-g3-social-studies-u04-l12
ma-g3-social-studies,17,1,,49,5,1,ma-g3-social-studies-u05-l01
ma-g3-social-studies,17,2,,50,5,2,ma-g3-social-studies-u05-l02
ma-g3-social-studies,17,3,,51,5,3,ma-g3-social-studies-u05-l03
ma-g3-social-studies,18,1,,52,5,4,ma-g3-social-studies-u05-l04
ma-g3-social-studies,18,2,,53,5,5,ma-g3-social-studies-u05-l05
ma-g3-social-studies,18,3,,54,5,6,ma-g3-social-studies-u05-l06
ma-g3-social-studies,19,1,,55,5,7,ma-g3-social-studies-u05-l07
ma-g3-social-studies,19,2,,56,5,8,ma-g3-social-studies-u05-l08
ma-g3-social-studies,19,3,,57,5,9,ma-g3-social-studies-u05-l09
ma-g3-social-studies,20,1,,58,5,10,ma-g3-social-studies-u05-l10
ma-g3-social-studies,20,2,,59,5,11,ma-g3-social-studies-u05-l11
ma-g3-social-studies,20,3,,60,5,12,ma-g3-social-studies-u05-l12
ma-g3-social-studies,21,1,,61,6,1,ma-g3-social-studies-u06-l01
ma-g3-social-studies,21,2,,62,6,2,ma-g3-social-studies-u06-l02
ma-g3-social-studies,21,3,,63,6,3,ma-g3-social-studies-u06-l03
ma-g3-social-studies,22,1,,64,6,4,ma-g3-social-studies-u06-l04
ma-g3-social-studies,22,2,,65,6,5,ma-g3-social-studies-u06-l05
ma-g3-social-studies,22,3,,66,6,6,ma-g3-social-studies-u06-l06
ma-g3-social-studies,23,1,,67,6,7,ma-g3-social-studies-u06-l07
ma-g3-social-studies,23,2,,68,6,8,ma-g3-social-studies-u06-l08
ma-g3-social-studies,23,3,,69,6,9,ma-g3-social-studies-u06-l09
ma-g3-social-studies,24,1,,70,6,10,ma-g3-social-studies-u06-l10
ma-g3-social-studies,24,2,,71,6,11,ma-g3-social-studies-u06-l11
ma-g3-social-studies,24,3,,72,6,12,ma-g3-social-studies-u06-l12
ma-g3-social-studies,25,1,,73,7,1,ma-g3-social-studies-u07-l01
ma-g3-social-studies,25,2,,74,7,2,ma-g3-social-studies-u07-l02
ma-g3-social-studies,25,3,,75,7,3,ma-g3-social-studies-u07-l03
ma-g3-social-studies,26,1,,76,7,4,ma-g3-social-studies-u07-l04
ma-g3-social-studies,26,2,,77,7,5,ma-g3-social-studies-u07-l05
ma-g3-social-studies,26,3,,78,7,6,ma-g3-social-studies-u07-l06
ma-g3-social-studies,27,1,,79,7,7,ma-g3-social-studies-u07-l07
ma-g3-social-studies,27,2,,80,7,8,ma-g3-social-studies-u07-l08
ma-g3-social-studies,27,3,,81,7,9,ma-g3-social-studies-u07-l09
ma-g3-social-studies,28,1,,82,7,10,ma-g3-social-studies-u07-l10
ma-g3-social-studies,28,2,,83,7,11,ma-g3-social-studies-u07-l11
ma-g3-social-studies,28,3,,84,7,12,ma-g3-social-studies-u07-l12
ma-g3-social-studies,29,1,,85,8,1,ma-g3-social-studies-u08-l01
ma-g3-social-studies,29,2,,86,8,2,ma-g3-social-studies-u08-l02
ma-g3-social-studies,29,3,,87,8,3,ma-g3-social-studies-u08-l03
ma-g3-social-studies,30,1,,88,8,4,ma-g3-social-studies-u08-l04
ma-g3-social-studies,30,2,,89,8,5,ma-g3-social-studies-u08-l05
ma-g3-social-studies,30,3,,90,8,6,ma-g3-social-studies-u08-l06
ma-g3-social-studies,31,1,,91,8,7,ma-g3-social-studies-u08-l07
ma-g3-social-studies,31,2,,92,8,8,ma-g3-social-studies-u08-l08
ma-g3-social-studies,31,3,,93,8,9,ma-g3-social-studies-u08-l09
ma-g3-social-studies,32,1,,94,8,10,ma-g3-social-studies-u08-l10
ma-g3-social-studies,32,2,,95,8,11,ma-g3-social-studies-u08-l11
ma-g3-social-studies,32,3,,96,8,12,ma-g3-social-studies-u08-l12
ma-g3-social-studies,33,1,,97,9,1,ma-g3-social-studies-u09-l01
ma-g3-social-studies,33,2,,98,9,2,ma-g3-social-studies-u09-l02
ma-g3-social-studies,33,3,,99,9,3,ma-g3-social-studies-u09-l03
ma-g3-social-studies,34,1,,100,9,4,ma-g3-social-studies-u09-l04
ma-g3-social-studies,34,2,,101,9,5,ma-g3-social-studies-u09-l05
ma-g3-social-studies,34,3,,102,9,6,ma-g3-social-studies-u09-l06
ma-g3-social-studies,35,1,,103,9,7,ma-g3-social-studies-u09-l07
ma-g3-social-studies,35,2,,104,9,8,ma-g3-social-studies-u09-l08
ma-g3-social-studies,35,3,,105,9,9,ma-g3-social-studies-u09-l09
ma-g3-social-studies,36,1,,106,9,10,ma-g3-social-studies-u09-l10
ma-g3-social-studies,36,2,,107,9,11,ma-g3-social-studies-u09-l11
ma-g3-social-studies,36,3,,108,9,12,ma-g3-social-studies-u09-l12
