course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-mathematics,1,1,Monday,1,1,1,ma-g4-mathematics-u01-l01
ma-g4-mathematics,1,2,Tuesday,2,1,2,ma-g4-mathematics-u01-l02
ma-g4-mathematics,1,3,Wednesday,3,1,3,ma-g4-mathematics-u01-l03
ma-g4-mathematics,1,4,Thursday,4,1,4,ma-g4-mathematics-u01-l04
ma-g4-mathematics,1,5,Friday,5,1,5,ma-g4-mathematics-u01-l05
ma-g4-mathematics,2,1,Monday,6,1,6,ma-g4-mathematics-u01-l06
ma-g4-mathematics,2,2,Tuesday,7,1,7,ma-g4-mathematics-u01-l07
ma-g4-mathematics,2,3,Wednesday,8,1,8,ma-g4-mathematics-u01-l08
ma-g4-mathematics,2,4,Thursday,9,1,9,ma-g4-mathematics-u01-l09
ma-g4-mathematics,2,5,Friday,10,1,10,ma-g4-mathematics-u01-l10
ma-g4-mathematics,3,1,Monday,11,1,11,ma-g4-mathematics-u01-l11
ma-g4-mathematics,3,2,Tuesday,12,1,12,ma-g4-mathematics-u01-l12
ma-g4-mathematics,3,3,Wednesday,13,1,13,ma-g4-mathematics-u01-l13
ma-g4-mathematics,3,4,Thursday,14,1,14,ma-g4-mathematics-u01-l14
ma-g4-mathematics,3,5,Friday,15,1,15,ma-g4-mathematics-u01-l15
ma-g4-mathematics,4,1,Monday,16,1,16,ma-g4-mathematics-u01-l16
ma-g4-mathematics,4,2,Tuesday,17,1,17,ma-g4-mathematics-u01-l17
ma-g4-mathematics,4,3,Wednesday,18,1,18,ma-g4-mathematics-u01-l18
ma-g4-mathematics,4,4,Thursday,19,2,1,ma-g4-mathematics-u02-l01
ma-g4-mathematics,4,5,Friday,20,2,2,ma-g4-mathematics-u02-l02
ma-g4-mathematics,5,1,Monday,21,2,3,ma-g4-mathematics-u02-l03
ma-g4-mathematics,5,2,Tuesday,22,2,4,ma-g4-mathematics-u02-l04
ma-g4-mathematics,5,3,Wednesday,23,2,5,ma-g4-mathematics-u02-l05
ma-g4-mathematics,5,4,Thursday,24,2,6,ma-g4-mathematics-u02-l06
ma-g4-mathematics,5,5,Friday,25,2,7,ma-g4-mathematics-u02-l07
ma-g4-mathematics,6,1,Monday,26,2,8,ma-g4-mathematics-u02-l08
ma-g4-mathematics,6,2,Tuesday,27,2,9,ma-g4-mathematics-u02-l09
ma-g4-mathematics,6,3,Wednesday,28,2,10,ma-g4-mathematics-u02-l10
ma-g4-mathematics,6,4,Thursday,29,2,11,ma-g4-mathematics-u02-l11
