course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-ready-for-life,1,1,,1,1,1,ma-g4-ready-for-life-u01-l01
ma-g4-ready-for-life,2,1,,2,1,2,ma-g4-ready-for-life-u01-l02
ma-g4-ready-for-life,3,1,,3,1,3,ma-g4-ready-for-life-u01-l03
ma-g4-ready-for-life,4,1,,4,1,4,ma-g4-ready-for-life-u01-l04
ma-g4-ready-for-life,5,1,,5,1,5,ma-g4-ready-for-life-u01-l05
ma-g4-ready-for-life,6,1,,6,1,6,ma-g4-ready-for-life-u01-l06
ma-g4-ready-for-life,7,1,,7,2,1,ma-g4-ready-for-life-u02-l01
ma-g4-ready-for-life,8,1,,8,2,2,ma-g4-ready-for-life-u02-l02
ma-g4-ready-for-life,9,1,,9,2,3,ma-g4-ready-for-life-u02-l03
ma-g4-ready-for-life,10,1,,10,2,4,ma-g4-ready-for-life-u02-l04
ma-g4-ready-for-life,11,1,,11,2,5,ma-g4-ready-for-life-u02-l05
ma-g4-ready-for-life,12,1,,12,2,6,ma-g4-ready-for-life-u02-l06
ma-g4-ready-for-life,13,1,,13,3,1,ma-g4-ready-for-life-u03-l01
ma-g4-ready-for-life,14,1,,14,3,2,ma-g4-ready-for-life-u03-l02
ma-g4-ready-for-life,15,1,,15,3,3,ma-g4-ready-for-life-u03-l03
ma-g4-ready-for-life,16,1,,16,3,4,ma-g4-ready-for-life-u03-l04
ma-g4-ready-for-life,17,1,,17,3,5,ma-g4-ready-for-life-u03-l05
ma-g4-ready-for-life,18,1,,18,3,6,ma-g4-ready-for-life-u03-l06
ma-g4-ready-for-life,19,1,,19,4,1,ma-g4-ready-for-life-u04-l01
ma-g4-ready-for-life,20,1,,20,4,2,ma-g4-ready-for-life-u04-l02
ma-g4-ready-for-life,21,1,,21,4,3,ma-g4-ready-for-life-u04-l03
ma-g4-ready-for-life,22,1,,22,4,4,ma-g4-ready-for-life-u04-l04
ma-g4-ready-for-life,23,1,,23,4,5,ma-g4-ready-for-life-u04-l05
ma-g4-ready-for-life,24,1,,24,4,6,ma-g4-ready-for-life-u04-l06
ma-g4-ready-for-life,25,1,,25,5,1,ma-g4-ready-for-life-u05-l01
ma-g4-ready-for-life,26,1,,26,5,2,ma-g4-ready-for-life-u05-l02
ma-g4-ready-for-life,27,1,,27,5,3,ma-g4-ready-for-life-u05-l03
ma-g4-ready-for-life,28,1,,28,5,4,ma-g4-ready-for-life-u05-l04
ma-g4-ready-for-life,29,1,,29,5,5,ma-g4-ready-for-life-u05-l05
ma-g4-ready-for-life,30,1,,30,5,6,ma-g4-ready-for-life-u05-l06
ma-g4-ready-for-life,31,1,,31,6,1,ma-g4-ready-for-life-u06-l01
ma-g4-ready-for-life,32,1,,32,6,2,ma-g4-ready-for-life-u06-l02
ma-g4-ready-for-life,33,1,,33,6,3,ma-g4-ready-for-life-u06-l03
ma-g4-ready-for-life,34,1,,34,6,4,ma-g4-ready-for-life-u06-l04
ma-g4-ready-for-life,35,1,,35,6,5,ma-g4-ready-for-life-u06-l05
ma-g4-ready-for-life,36,1,,36,6,6,ma-g4-ready-for-life-u06-l06
