course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-science,1,1,,1,1,1,ma-g4-science-u01-l01
ma-g4-science,1,2,,2,1,2,ma-g4-science-u01-l02
ma-g4-science,1,3,,3,1,3,ma-g4-science-u01-l03
ma-g4-science,2,1,,4,1,4,ma-g4-science-u01-l04
ma-g4-science,2,2,,5,1,5,ma-g4-science-u01-l05
ma-g4-science,2,3,,6,1,6,ma-g4-science-u01-l06
ma-g4-science,3,1,,7,1,7,ma-g4-science-u01-l07
ma-g4-science,3,2,,8,1,8,ma-g4-science-u01-l08
ma-g4-science,3,3,,9,1,9,ma-g4-science-u01-l09
ma-g4-science,4,1,,10,1,10,ma-g4-science-u01-l10
ma-g4-science,4,2,,11,1,11,ma-g4-science-u01-l11
ma-g4-science,4,3,,12,1,12,ma-g4-science-u01-l12
ma-g4-science,5,1,,13,2,1,ma-g4-science-u02-l01
ma-g4-science,5,2,,14,2,2,ma-g4-science-u02-l02
ma-g4-science,5,3,,15,2,3,ma-g4-science-u02-l03
ma-g4-science,6,1,,16,2,4,ma-g4-science-u02-l04
ma-g4-science,6,2,,17,2,5,ma-g4-science-u02-l05
ma-g4-science,6,3,,18,2,6,ma-g4-science-u02-l06
ma-g4-science,7,1,,19,2,7,ma-g4-science-u02-l07
ma-g4-science,7,2,,20,2,8,ma-g4-science-u02-l08
ma-g4-science,7,3,,21,2,9,ma-g4-science-u02-l09
ma-g4-science,8,1,,22,2,10,ma-g4-science-u02-l10
ma-g4-science,8,2,,23,2,11,ma-g4-science-u02-l11
ma-g4-science,8,3,,24,2,12,ma-g4-science-u02-l12
ma-g4-science,9,1,,25,3,1,ma-g4-science-u03-l01
ma-g4-science,9,2,,26,3,2,ma-g4-science-u03-l02
ma-g4-science,9,3,,27,3,3,ma-g4-science-u03-l03
ma-g4-science,10,1,,28,3,4,ma-g4-science-u03-l04
ma-g4-science,10,2,,29,3,5,ma-g4-science-u03-l05
ma-g4-science,10,3,,30,3,6,ma-g4-science-u03-l06
ma-g4-science,11,1,,31,3,7,ma-g4-science-u03-l07
ma-g4-science,11,2,,32,3,8,ma-g4-science-u03-l08
ma-g4-science,11,3,,33,3,9,ma-g4-science-u03-l09
ma-g4-science,12,1,,34,3,10,ma-g4-science-u03-l10
ma-g4-science,12,2,,35,3,11,ma-g4-science-u03-l11
ma-g4-science,12,3,,36,3,12,ma-g4-science-u03-l12
ma-g4-science,13,1,,37,4,1,ma-g4-science-u04-l01
ma-g4-science,13,2,,38,4,2,ma-g4-science-u04-l02
ma-g4-science,13,3,,39,4,3,ma-g4-science-u04-l03
ma-g4-science,14,1,,40,4,4,ma-g4-science-u04-l04
ma-g4-science,14,2,,41,4,5,ma-g4-science-u04-l05
ma-g4-science,14,3,,42,4,6,ma-g4-science-u04-l06
ma-g4-science,15,1,,43,4,7,ma-g4-science-u04-l07
