course_day,course_id,lesson_id
1,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l01
2,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l02
3,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l03
4,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l04
5,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l05
6,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l06
7,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l07
8,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l08
9,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l09
10,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l10
11,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l11
12,ma-g10-arts-and-music,ma-g10-arts-and-music-u01-l12
13,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l01
14,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l02
15,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l03
16,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l04
17,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l05
18,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l06
19,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l07
20,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l08
21,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l09
22,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l10
23,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l11
24,ma-g10-arts-and-music,ma-g10-arts-and-music-u02-l12
25,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l01
26,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l02
27,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l03
28,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l04
29,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l05
30,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l06
31,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l07
32,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l08
33,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l09
34,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l10
35,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l11
36,ma-g10-arts-and-music,ma-g10-arts-and-music-u03-l12
37,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l01
38,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l02
39,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l03
40,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l04
41,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l05
42,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l06
43,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l07
44,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l08
45,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l09
46,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l10
47,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l11
48,ma-g10-arts-and-music,ma-g10-arts-and-music-u04-l12
49,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l01
50,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l02
51,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l03
52,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l04
53,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l05
54,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l06
55,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l07
56,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l08
57,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l09
58,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l10
59,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l11
60,ma-g10-arts-and-music,ma-g10-arts-and-music-u05-l12
61,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l01
62,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l02
63,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l03
64,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l04
65,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l05
66,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l06
67,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l07
68,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l08
69,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l09
70,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l10
71,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l11
72,ma-g10-arts-and-music,ma-g10-arts-and-music-u06-l12
1,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l01
2,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l02
3,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l03
4,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l04
5,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l05
6,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l06
7,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l07
8,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l08
9,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l09
10,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l10
11,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l11
12,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l12
13,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l13
14,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l14
15,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l15
16,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l16
17,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l17
18,ma-g10-english-language-arts,ma-g10-english-language-arts-u01-l18
19,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l01
20,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l02
21,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l03
22,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l04
23,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l05
24,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l06
25,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l07
26,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l08
27,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l09
28,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l10
29,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l11
30,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l12
31,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l13
32,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l14
33,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l15
34,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l16
35,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l17
36,ma-g10-english-language-arts,ma-g10-english-language-arts-u02-l18
37,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l01
38,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l02
39,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l03
40,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l04
41,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l05
42,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l06
43,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l07
44,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l08
45,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l09
46,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l10
47,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l11
48,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l12
49,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l13
50,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l14
51,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l15
52,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l16
53,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l17
54,ma-g10-english-language-arts,ma-g10-english-language-arts-u03-l18
55,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l01
56,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l02
57,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l03
58,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l04
59,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l05
60,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l06
61,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l07
62,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l08
63,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l09
64,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l10
65,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l11
66,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l12
67,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l13
68,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l14
69,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l15
70,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l16
71,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l17
72,ma-g10-english-language-arts,ma-g10-english-language-arts-u04-l18
73,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l01
74,ma-g10-english-language-arts,ma-g10-english-language-arts-u05-l02
