lesson_id,course_id,instructional_sha256_r1,instructional_sha256_r2,instructional_equal,citation_sequence_sha256_r1,citation_sequence_sha256_r2,citation_sequence_equal,roundtrip_byte_identical
ma-g3-mathematics-u01-l01,ma-g3-mathematics,07c8e09f45830b43d6282d4bcda54541e8e4e342db9203f24716517a93920126,07c8e09f45830b43d6282d4bcda54541e8e4e342db9203f24716517a93920126,true,93adf3170b46a3a4c2b23e3e9b918e7e3bf684829ac70725f47c4ff506886228,93adf3170b46a3a4c2b23e3e9b918e7e3bf684829ac70725f47c4ff506886228,true,true
ma-g3-mathematics-u01-l02,ma-g3-mathematics,85e725be6c7d5b2595bf30271290c9472695fd03d54c30e9470675b459400f1b,85e725be6c7d5b2595bf30271290c9472695fd03d54c30e9470675b459400f1b,true,4672437c16fb944b43e17c8cb18f5d69c7cc9a28e07af332b4fcb79106dbe48f,4672437c16fb944b43e17c8cb18f5d69c7cc9a28e07af332b4fcb79106dbe48f,true,true
ma-g3-mathematics-u01-l03,ma-g3-mathematics,11cf951ffc1a81042af921a719cfaeaab0fe73b77acd3f297a2261cccd01466b,11cf951ffc1a81042af921a719cfaeaab0fe73b77acd3f297a2261cccd01466b,true,ea66068c190d4244b51453642bc9609126d213aad20b87a28057b734ddcc823f,ea66068c190d4244b51453642bc9609126d213aad20b87a28057b734ddcc823f,true,true
ma-g3-mathematics-u01-l04,ma-g3-mathematics,d2c2d0c095670626c1841a6c8b75517190c894b05777f5605e8f907badaac1bb,d2c2d0c095670626c1841a6c8b75517190c894b05777f5605e8f907badaac1bb,true,4957adce321748ecce9d9784641a39a807e585dcf1551dcbde2490ec5b404017,4957adce321748ecce9d9784641a39a807e585dcf1551dcbde2490ec5b404017,true,true
ma-g3-mathematics-u01-l05,ma-g3-mathematics,d8cef2d09eb19e40796ca1a9068adb97f97211555508a5a2d36bd05c1a5652e2,d8cef2d09eb19e40796ca1a9068adb97f97211555508a5a2d36bd05c1a5652e2,true,4957adce321748ecce9d9784641a39a807e585dcf1551dcbde2490ec5b404017,4957adce321748ecce9d9784641a39a807e585dcf1551dcbde2490ec5b404017,true,true
ma-g3-mathematics-u01-l06,ma-g3-mathematics,785b98e25872bd6a12fa40122d0c2856a2b7fc19b0fe44a0a5582626732899b2,785b98e25872bd6a12fa40122d0c2856a2b7fc19b0fe44a0a5582626732899b2,true,ab54464665485990d15f257142f42d7f2e64515cf42730dd4a38275d332407d0,ab54464665485990d15f257142f42d7f2e64515cf42730dd4a38275d332407d0,true,true
ma-g3-mathematics-u01-l07,ma-g3-mathematics,e1eb58eaefcd9fcea7c79ec24139b85f022b85fd88911ac2c2cdaabbf586403e,e1eb58eaefcd9fcea7c79ec24139b85f022b85fd88911ac2c2cdaabbf586403e,true,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,true,true
ma-g3-mathematics-u01-l08,ma-g3-mathematics,978927fadad461829a81853553520545c261eff5c470b0b08f95202a6ea667e7,978927fadad461829a81853553520545c261eff5c470b0b08f95202a6ea667e7,true,1ddc4fa3d66167f8f167e6fa7ce13de47d173cd82396b22108f186289952c08e,1ddc4fa3d66167f8f167e6fa7ce13de47d173cd82396b22108f186289952c08e,true,true
ma-g3-mathematics-u01-l09,ma-g3-mathematics,c7b4641486fca2af94be8af44539aec745ee098b1a0b4546c7c33f9b27fa3d5b,c7b4641486fca2af94be8af44539aec745ee098b1a0b4546c7c33f9b27fa3d5b,true,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,true,true
ma-g3-mathematics-u01-l10,ma-g3-mathematics,74cf632390badbd11038bceb4e5cbdcae9ee5fdeb6a05e440e3c7024bb97d1c2,74cf632390badbd11038bceb4e5cbdcae9ee5fdeb6a05e440e3c7024bb97d1c2,true,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,57a4766db9fbb11907780299db9af8cc871a88e92351cb1e4b4cd1da601470f6,true,true
