course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g3-arts-music,1,1,Tuesday,1,1,1,ma-g3-arts-music-u01-l01
ma-g3-arts-music,1,2,Thursday,2,1,2,ma-g3-arts-music-u01-l02
ma-g3-arts-music,2,1,Tuesday,3,1,3,ma-g3-arts-music-u01-l03
ma-g3-arts-music,2,2,Thursday,4,1,4,ma-g3-arts-music-u01-l04
ma-g3-arts-music,3,1,Tuesday,5,1,5,ma-g3-arts-music-u01-l05
ma-g3-arts-music,3,2,Thursday,6,1,6,ma-g3-arts-music-u01-l06
ma-g3-arts-music,4,1,Tuesday,7,1,7,ma-g3-arts-music-u01-l07
ma-g3-arts-music,4,2,Thursday,8,1,8,ma-g3-arts-music-u01-l08
ma-g3-arts-music,5,1,Tuesday,9,1,9,ma-g3-arts-music-u01-l09
ma-g3-arts-music,5,2,Thursday,10,1,10,ma-g3-arts-music-u01-l10
ma-g3-arts-music,6,1,Tuesday,11,1,11,ma-g3-arts-music-u01-l11
ma-g3-arts-music,6,2,Thursday,12,1,12,ma-g3-arts-music-u01-l12
ma-g3-arts-music,7,1,Tuesday,13,2,1,ma-g3-arts-music-u02-l01
ma-g3-arts-music,7,2,Thursday,14,2,2,ma-g3-arts-music-u02-l02
ma-g3-arts-music,8,1,Tuesday,15,2,3,ma-g3-arts-music-u02-l03
ma-g3-arts-music,8,2,Thursday,16,2,4,ma-g3-arts-music-u02-l04
ma-g3-arts-music,9,1,Tuesday,17,2,5,ma-g3-arts-music-u02-l05
ma-g3-arts-music,9,2,Thursday,18,2,6,ma-g3-arts-music-u02-l06
ma-g3-arts-music,10,1,Tuesday,19,2,7,ma-g3-arts-music-u02-l07
ma-g3-arts-music,10,2,Thursday,20,2,8,ma-g3-arts-music-u02-l08
ma-g3-arts-music,11,1,Tuesday,21,2,9,ma-g3-arts-music-u02-l09
ma-g3-arts-music,11,2,Thursday,22,2,10,ma-g3-arts-music-u02-l10
ma-g3-arts-music,12,1,Tuesday,23,2,11,ma-g3-arts-music-u02-l11
ma-g3-arts-music,12,2,Thursday,24,2,12,ma-g3-arts-music-u02-l12
ma-g3-arts-music,13,1,Tuesday,25,3,1,ma-g3-arts-music-u03-l01
