course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g3-financial-literacy,1,1,,1,1,1,ma-g3-financial-literacy-u01-l01
ma-g3-financial-literacy,2,1,,2,1,2,ma-g3-financial-literacy-u01-l02
ma-g3-financial-literacy,3,1,,3,1,3,ma-g3-financial-literacy-u01-l03
ma-g3-financial-literacy,4,1,,4,1,4,ma-g3-financial-literacy-u01-l04
ma-g3-financial-literacy,5,1,,5,1,5,ma-g3-financial-literacy-u01-l05
ma-g3-financial-literacy,6,1,,6,1,6,ma-g3-financial-literacy-u01-l06
ma-g3-financial-literacy,7,1,,7,2,1,ma-g3-financial-literacy-u02-l01
ma-g3-financial-literacy,8,1,,8,2,2,ma-g3-financial-literacy-u02-l02
ma-g3-financial-literacy,9,1,,9,2,3,ma-g3-financial-literacy-u02-l03
ma-g3-financial-literacy,10,1,,10,2,4,ma-g3-financial-literacy-u02-l04
ma-g3-financial-literacy,11,1,,11,2,5,ma-g3-financial-literacy-u02-l05
ma-g3-financial-literacy,12,1,,12,2,6,ma-g3-financial-literacy-u02-l06
ma-g3-financial-literacy,13,1,,13,3,1,ma-g3-financial-literacy-u03-l01
ma-g3-financial-literacy,14,1,,14,3,2,ma-g3-financial-literacy-u03-l02
ma-g3-financial-literacy,15,1,,15,3,3,ma-g3-financial-literacy-u03-l03
ma-g3-financial-literacy,16,1,,16,3,4,ma-g3-financial-literacy-u03-l04
ma-g3-financial-literacy,17,1,,17,3,5,ma-g3-financial-literacy-u03-l05
ma-g3-financial-literacy,18,1,,18,3,6,ma-g3-financial-literacy-u03-l06
ma-g3-financial-literacy,19,1,,19,4,1,ma-g3-financial-literacy-u04-l01
ma-g3-financial-literacy,20,1,,20,4,2,ma-g3-financial-literacy-u04-l02
ma-g3-financial-literacy,21,1,,21,4,3,ma-g3-financial-literacy-u04-l03
ma-g3-financial-literacy,22,1,,22,4,4,ma-g3-financial-literacy-u04-l04
ma-g3-financial-literacy,23,1,,23,4,5,ma-g3-financial-literacy-u04-l05
ma-g3-financial-literacy,24,1,,24,4,6,ma-g3-financial-literacy-u04-l06
ma-g3-financial-literacy,25,1,,25,5,1,ma-g3-financial-literacy-u05-l01
ma-g3-financial-literacy,26,1,,26,5,2,ma-g3-financial-literacy-u05-l02
ma-g3-financial-literacy,27,1,,27,5,3,ma-g3-financial-literacy-u05-l03
ma-g3-financial-literacy,28,1,,28,5,4,ma-g3-financial-literacy-u05-l04
ma-g3-financial-literacy,29,1,,29,5,5,ma-g3-financial-literacy-u05-l05
ma-g3-financial-literacy,30,1,,30,5,6,ma-g3-financial-literacy-u05-l06
ma-g3-financial-literacy,31,1,,31,6,1,ma-g3-financial-literacy-u06-l01
ma-g3-financial-literacy,32,1,,32,6,2,ma-g3-financial-literacy-u06-l02
ma-g3-financial-literacy,33,1,,33,6,3,ma-g3-financial-literacy-u06-l03
ma-g3-financial-literacy,34,1,,34,6,4,ma-g3-financial-literacy-u06-l04
ma-g3-financial-literacy,35,1,,35,6,5,ma-g3-financial-literacy-u06-l05
ma-g3-financial-literacy,36,1,,36,6,6,ma-g3-financial-literacy-u06-l06
