course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-physical-education,1,1,Monday,1,1,1,ma-g4-physical-education-u01-l01
ma-g4-physical-education,1,2,Wednesday,2,1,2,ma-g4-physical-education-u01-l02
ma-g4-physical-education,1,3,Friday,3,1,3,ma-g4-physical-education-u01-l03
ma-g4-physical-education,2,1,Monday,4,1,4,ma-g4-physical-education-u01-l04
ma-g4-physical-education,2,2,Wednesday,5,1,5,ma-g4-physical-education-u01-l05
ma-g4-physical-education,2,3,Friday,6,1,6,ma-g4-physical-education-u01-l06
ma-g4-physical-education,3,1,Monday,7,1,7,ma-g4-physical-education-u01-l07
ma-g4-physical-education,3,2,Wednesday,8,1,8,ma-g4-physical-education-u01-l08
ma-g4-physical-education,3,3,Friday,9,1,9,ma-g4-physical-education-u01-l09
ma-g4-physical-education,4,1,Monday,10,1,10,ma-g4-physical-education-u01-l10
ma-g4-physical-education,4,2,Wednesday,11,1,11,ma-g4-physical-education-u01-l11
ma-g4-physical-education,4,3,Friday,12,1,12,ma-g4-physical-education-u01-l12
ma-g4-physical-education,5,1,Monday,13,2,1,ma-g4-physical-education-u02-l01
ma-g4-physical-education,5,2,Wednesday,14,2,2,ma-g4-physical-education-u02-l02
ma-g4-physical-education,5,3,Friday,15,2,3,ma-g4-physical-education-u02-l03
ma-g4-physical-education,6,1,Monday,16,2,4,ma-g4-physical-education-u02-l04
ma-g4-physical-education,6,2,Wednesday,17,2,5,ma-g4-physical-education-u02-l05
ma-g4-physical-education,6,3,Friday,18,2,6,ma-g4-physical-education-u02-l06
ma-g4-physical-education,7,1,Monday,19,2,7,ma-g4-physical-education-u02-l07
ma-g4-physical-education,7,2,Wednesday,20,2,8,ma-g4-physical-education-u02-l08
ma-g4-physical-education,7,3,Friday,21,2,9,ma-g4-physical-education-u02-l09
ma-g4-physical-education,8,1,Monday,22,2,10,ma-g4-physical-education-u02-l10
ma-g4-physical-education,8,2,Wednesday,23,2,11,ma-g4-physical-education-u02-l11
ma-g4-physical-education,8,3,Friday,24,2,12,ma-g4-physical-education-u02-l12
ma-g4-physical-education,9,1,Monday,25,3,1,ma-g4-physical-education-u03-l01
ma-g4-physical-education,9,2,Wednesday,26,3,2,ma-g4-physical-education-u03-l02
