course_id,week,session_in_week,day_of_week,course_day,unit_number,day_in_unit,lesson_id
ma-g4-tech-cs,1,1,Tuesday,1,1,1,ma-g4-tech-cs-u01-l01
ma-g4-tech-cs,2,1,Tuesday,2,1,2,ma-g4-tech-cs-u01-l02
ma-g4-tech-cs,3,1,Tuesday,3,1,3,ma-g4-tech-cs-u01-l03
ma-g4-tech-cs,4,1,Tuesday,4,1,4,ma-g4-tech-cs-u01-l04
ma-g4-tech-cs,5,1,Tuesday,5,1,5,ma-g4-tech-cs-u01-l05
ma-g4-tech-cs,6,1,Tuesday,6,1,6,ma-g4-tech-cs-u01-l06
ma-g4-tech-cs,7,1,Tuesday,7,2,1,ma-g4-tech-cs-u02-l01
ma-g4-tech-cs,8,1,Tuesday,8,2,2,ma-g4-tech-cs-u02-l02
ma-g4-tech-cs,9,1,Tuesday,9,2,3,ma-g4-tech-cs-u02-l03
ma-g4-tech-cs,10,1,Tuesday,10,2,4,ma-g4-tech-cs-u02-l04
ma-g4-tech-cs,11,1,Tuesday,11,2,5,ma-g4-tech-cs-u02-l05
ma-g4-tech-cs,12,1,Tuesday,12,2,6,ma-g4-tech-cs-u02-l06
ma-g4-tech-cs,13,1,Tuesday,13,3,1,ma-g4-tech-cs-u03-l01
ma-g4-tech-cs,14,1,Tuesday,14,3,2,ma-g4-tech-cs-u03-l02
ma-g4-tech-cs,15,1,Tuesday,15,3,3,ma-g4-tech-cs-u03-l03
ma-g4-tech-cs,16,1,Tuesday,16,3,4,ma-g4-tech-cs-u03-l04
ma-g4-tech-cs,17,1,Tuesday,17,3,5,ma-g4-tech-cs-u03-l05
ma-g4-tech-cs,18,1,Tuesday,18,3,6,ma-g4-tech-cs-u03-l06
ma-g4-tech-cs,19,1,Tuesday,19,4,1,ma-g4-tech-cs-u04-l01
ma-g4-tech-cs,20,1,Tuesday,20,4,2,ma-g4-tech-cs-u04-l02
ma-g4-tech-cs,21,1,Tuesday,21,4,3,ma-g4-tech-cs-u04-l03
ma-g4-tech-cs,22,1,Tuesday,22,4,4,ma-g4-tech-cs-u04-l04
ma-g4-tech-cs,23,1,Tuesday,23,4,5,ma-g4-tech-cs-u04-l05
ma-g4-tech-cs,24,1,Tuesday,24,4,6,ma-g4-tech-cs-u04-l06
ma-g4-tech-cs,25,1,Tuesday,25,5,1,ma-g4-tech-cs-u05-l01
ma-g4-tech-cs,26,1,Tuesday,26,5,2,ma-g4-tech-cs-u05-l02
ma-g4-tech-cs,27,1,Tuesday,27,5,3,ma-g4-tech-cs-u05-l03
ma-g4-tech-cs,28,1,Tuesday,28,5,4,ma-g4-tech-cs-u05-l04
ma-g4-tech-cs,29,1,Tuesday,29,5,5,ma-g4-tech-cs-u05-l05
ma-g4-tech-cs,30,1,Tuesday,30,5,6,ma-g4-tech-cs-u05-l06
ma-g4-tech-cs,31,1,Tuesday,31,6,1,ma-g4-tech-cs-u06-l01
ma-g4-tech-cs,32,1,Tuesday,32,6,2,ma-g4-tech-cs-u06-l02
ma-g4-tech-cs,33,1,Tuesday,33,6,3,ma-g4-tech-cs-u06-l03
ma-g4-tech-cs,34,1,Tuesday,34,6,4,ma-g4-tech-cs-u06-l04
ma-g4-tech-cs,35,1,Tuesday,35,6,5,ma-g4-tech-cs-u06-l05
ma-g4-tech-cs,36,1,Tuesday,36,6,6,ma-g4-tech-cs-u06-l06
