assessment_ref,course_ref,grade,state,response_mode,task_count,task_kinds,metadata_ref_present,learner_material_ref,ready,answer_material_included,embedded_science_brief_or_bound_data,adult_authority_kind,adult_completion_authority_present,assessor_boundary
ma-g3-science-u01-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u02-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u03-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u04-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u05-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u06-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u07-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u08-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g3-science-u09-assessment,ma-g3-science,3,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g3-science/student-sheets/ma-g3-science-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u01-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u02-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u03-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u04-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u04-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u05-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u05-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u06-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u06-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u07-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u07-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u08-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u08-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g4-science-u09-assessment,ma-g4-science,4,BOUND,investigation-data-and-evidence,6,safety-read-this-before-you-touch-anything|your-data-sheet|if-you-are-not-doing-the-hands-on-activity|analysis-questions|how-this-is-scored|if-you-get-stuck,False,repo:curriculum-production/final/science/packages/ma-g4-science/student-sheets/ma-g4-science-u09-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u01-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u01-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u02-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u02-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
ma-g5-science-u03-assessment,ma-g5-science,5,BOUND,investigation-data-and-evidence,7,concept and vocabulary|representation or source|application|error or claim analysis|connection|performance evidence|reflection and transfer,True,repo:curriculum-production/final/science/packages/ma-g5-science/student-sheets/ma-g5-science-u03-l11.md,True,False,False,restricted-adult-assessment-authority,False,INJECTED_PRODUCTION_ASSESSOR
